firm,aspect,avg_star_rating,n_mentions
AFH Wealth Management,culture,2.5,2
AFH Wealth Management,hr & recruitment,3.0,4
AFH Wealth Management,management,3.2,5
AFH Wealth Management,pay,2.6666666666666665,3
AFH Wealth Management,people,4.0,1
AFH Wealth Management,perks & benefits,4.0,1
AFH Wealth Management,teamwork & collaboration,3.3333333333333335,3
AFH Wealth Management,tools & resources,5.0,1
AFH Wealth Management,work-life balance,4.0,1
AJ Bell,culture,3.7142857142857144,7
AJ Bell,growth & learning,3.3333333333333335,12
AJ Bell,hr & recruitment,2.6363636363636362,11
AJ Bell,job role clarity,2.6666666666666665,3
AJ Bell,job security,2.0,1
AJ Bell,management,2.1666666666666665,6
AJ Bell,office & location,3.6666666666666665,9
AJ Bell,pay,3.4285714285714284,7
AJ Bell,people,3.4444444444444446,9
AJ Bell,perks & benefits,4.0,7
AJ Bell,teamwork & collaboration,3.75,8
AJ Bell,tools & resources,3.0,4
AJ Bell,work-life balance,4.0,2
ASOS,culture,2.85,20
ASOS,diversity & inclusion,1.0,2
ASOS,growth & learning,2.3714285714285714,35
ASOS,hr & recruitment,3.12,25
ASOS,job role clarity,2.6666666666666665,6
ASOS,job security,1.0,1
ASOS,management,1.7419354838709677,31
ASOS,office & location,2.869565217391304,23
ASOS,pay,2.764705882352941,17
ASOS,people,3.15625,32
ASOS,performance feedback,1.6666666666666667,6
ASOS,perks & benefits,3.9347826086956523,46
ASOS,stress & pressure,2.3529411764705883,17
ASOS,teamwork & collaboration,2.88,25
ASOS,tools & resources,3.1,10
ASOS,work-life balance,2.59375,32
AXA UK,culture,3.375,8
AXA UK,diversity & inclusion,4.0,2
AXA UK,growth & learning,2.5,4
AXA UK,hr & recruitment,3.375,8
AXA UK,job role clarity,2.0,2
AXA UK,job security,2.0,1
AXA UK,management,2.625,8
AXA UK,office & location,3.0,4
AXA UK,pay,3.4285714285714284,7
AXA UK,people,3.6666666666666665,3
AXA UK,performance feedback,3.0,2
AXA UK,perks & benefits,3.75,8
AXA UK,remote work,4.0,1
AXA UK,teamwork & collaboration,3.3333333333333335,3
AXA UK,tools & resources,3.2,5
AXA UK,work-life balance,3.3333333333333335,3
Abcam,culture,4.0,14
Abcam,growth & learning,3.1666666666666665,12
Abcam,hr & recruitment,2.0,1
Abcam,job role clarity,2.5,4
Abcam,management,3.8333333333333335,6
Abcam,office & location,3.125,8
Abcam,pay,1.75,4
Abcam,people,4.166666666666667,6
Abcam,perks & benefits,3.25,4
Abcam,stress & pressure,3.0,8
Abcam,teamwork & collaboration,3.8,5
Abcam,tools & resources,3.6666666666666665,3
Abcam,work-life balance,3.7142857142857144,7
Accenture,culture,3.106382978723404,47
Accenture,diversity & inclusion,4.571428571428571,7
Accenture,growth & learning,3.4,140
Accenture,hr & recruitment,3.25531914893617,47
Accenture,job role clarity,2.8333333333333335,30
Accenture,job security,1.5,2
Accenture,management,2.3333333333333335,66
Accenture,office & location,2.5625,16
Accenture,pay,2.7777777777777777,63
Accenture,people,3.658536585365854,82
Accenture,performance feedback,1.9444444444444444,18
Accenture,perks & benefits,3.675675675675676,37
Accenture,remote work,3.3333333333333335,3
Accenture,stress & pressure,1.7,30
Accenture,teamwork & collaboration,3.533333333333333,30
Accenture,tools & resources,3.4054054054054053,37
Accenture,work-life balance,2.580246913580247,81
Accor,culture,3.5,4
Accor,growth & learning,4.166666666666667,6
Accor,hr & recruitment,2.5,8
Accor,job role clarity,3.0,3
Accor,job security,1.0,1
Accor,management,1.25,4
Accor,office & location,2.0,1
Accor,pay,1.375,8
Accor,people,4.0,3
Accor,perks & benefits,1.0,2
Accor,stress & pressure,2.6666666666666665,3
Accor,teamwork & collaboration,4.0,1
Accor,tools & resources,1.0,1
Accor,work-life balance,2.375,8
Achieving for Children,growth & learning,5.0,1
Achieving for Children,hr & recruitment,3.5,2
Achieving for Children,management,5.0,1
Achieving for Children,people,5.0,1
Achieving for Children,teamwork & collaboration,5.0,1
Achieving for Children,work-life balance,2.0,1
ActionCOACH,culture,4.0,1
ActionCOACH,growth & learning,5.0,1
ActionCOACH,hr & recruitment,5.0,1
ActionCOACH,pay,5.0,1
ActionCOACH,stress & pressure,1.0,1
ActionCOACH,work-life balance,2.0,1
Active Care Group,culture,2.0,3
Active Care Group,growth & learning,2.5,2
Active Care Group,hr & recruitment,1.6666666666666667,6
Active Care Group,job security,1.0,1
Active Care Group,management,2.0,3
Active Care Group,office & location,1.6,5
Active Care Group,pay,2.111111111111111,9
Active Care Group,people,3.0,6
Active Care Group,perks & benefits,1.0,1
Active Care Group,stress & pressure,1.0,1
Active Care Group,teamwork & collaboration,4.25,4
Active Care Group,tools & resources,1.0,3
Active Care Group,work-life balance,1.8,10
Adecco,culture,3.3333333333333335,3
Adecco,growth & learning,2.5,2
Adecco,hr & recruitment,3.2,5
Adecco,job role clarity,1.0,1
Adecco,management,3.0,1
Adecco,office & location,4.0,1
Adecco,pay,3.0,4
Adecco,perks & benefits,2.0,1
Adecco,tools & resources,2.0,1
Adecco,work-life balance,2.3333333333333335,3
Age UK The National Charity,culture,2.5,4
Age UK The National Charity,growth & learning,3.0,2
Age UK The National Charity,hr & recruitment,2.5,6
Age UK The National Charity,management,2.2,5
Age UK The National Charity,office & location,3.0,2
Age UK The National Charity,pay,1.0,3
Age UK The National Charity,people,2.5,2
Age UK The National Charity,stress & pressure,1.0,1
Age UK The National Charity,teamwork & collaboration,4.333333333333333,3
Age UK The National Charity,tools & resources,4.333333333333333,3
Age UK The National Charity,work-life balance,2.0,3
AlixPartners,culture,3.0,3
AlixPartners,growth & learning,3.3333333333333335,3
AlixPartners,office & location,4.0,1
AlixPartners,pay,4.0,1
AlixPartners,people,4.0,3
AlixPartners,perks & benefits,4.0,1
AlixPartners,stress & pressure,2.5,2
AlixPartners,work-life balance,2.0,2
American Express,culture,4.0,16
American Express,diversity & inclusion,4.0,4
American Express,growth & learning,3.3636363636363638,33
American Express,hr & recruitment,3.3333333333333335,9
American Express,job role clarity,3.1666666666666665,6
American Express,job security,2.0,1
American Express,management,2.7333333333333334,15
American Express,office & location,3.3333333333333335,6
American Express,pay,2.1818181818181817,22
American Express,people,3.5,16
American Express,performance feedback,2.0,4
American Express,perks & benefits,4.375,8
American Express,remote work,4.0,1
American Express,stress & pressure,3.4,5
American Express,teamwork & collaboration,2.875,8
American Express,tools & resources,3.7142857142857144,7
American Express,work-life balance,3.4347826086956523,23
Amey,culture,2.875,8
Amey,growth & learning,2.6666666666666665,9
Amey,hr & recruitment,3.4,10
Amey,job role clarity,2.0,1
Amey,job security,2.0,1
Amey,management,2.5,10
Amey,office & location,3.0,5
Amey,pay,1.6666666666666667,9
Amey,people,3.888888888888889,9
Amey,perks & benefits,3.0,1
Amey,stress & pressure,1.0,3
Amey,teamwork & collaboration,3.8,5
Amey,tools & resources,4.0,3
Amey,work-life balance,3.2142857142857144,14
Angard Staffing,culture,3.0,2
Angard Staffing,hr & recruitment,2.6666666666666665,3
Angard Staffing,management,1.0,1
Angard Staffing,pay,4.0,1
Angard Staffing,perks & benefits,4.0,1
Angard Staffing,tools & resources,2.0,1
Angard Staffing,work-life balance,2.0,3
Anglian Water,culture,4.454545454545454,11
Anglian Water,growth & learning,4.333333333333333,9
Anglian Water,hr & recruitment,3.6,10
Anglian Water,job role clarity,3.0,4
Anglian Water,job security,3.3333333333333335,3
Anglian Water,management,3.2222222222222223,9
Anglian Water,office & location,3.2857142857142856,7
Anglian Water,pay,3.2222222222222223,9
Anglian Water,people,3.8333333333333335,12
Anglian Water,performance feedback,3.0,2
