firm,aspect,avg_star_rating,n_mentions
AFH Wealth Management,culture,2.769230769230769,13
AFH Wealth Management,diversity & inclusion,2.7073784242779375,0
AFH Wealth Management,growth & learning,3.4444444444444446,9
AFH Wealth Management,hr & recruitment,2.5217391304347827,23
AFH Wealth Management,job role clarity,1.0,4
AFH Wealth Management,job security,1.4,5
AFH Wealth Management,management,2.375,24
AFH Wealth Management,office & location,3.142857142857143,7
AFH Wealth Management,pay,1.894736842105263,19
AFH Wealth Management,people,3.2941176470588234,17
AFH Wealth Management,performance feedback,2.5,2
AFH Wealth Management,perks & benefits,3.0,8
AFH Wealth Management,remote work,2.6338075522834328,0
AFH Wealth Management,stress & pressure,2.0,3
AFH Wealth Management,teamwork & collaboration,2.5714285714285716,14
AFH Wealth Management,tools & resources,2.111111111111111,9
AFH Wealth Management,work-life balance,3.1666666666666665,12
AJ Bell,culture,3.4166666666666665,48
AJ Bell,diversity & inclusion,3.0,2
AJ Bell,growth & learning,3.25,68
AJ Bell,hr & recruitment,3.0,64
AJ Bell,job role clarity,2.125,8
AJ Bell,job security,2.8,5
AJ Bell,management,2.8048780487804876,41
AJ Bell,office & location,3.4680851063829787,47
AJ Bell,pay,2.4285714285714284,63
AJ Bell,people,3.43859649122807,57
AJ Bell,performance feedback,2.875,8
AJ Bell,perks & benefits,2.8627450980392157,51
AJ Bell,remote work,4.333333333333333,3
AJ Bell,stress & pressure,2.9285714285714284,14
AJ Bell,teamwork & collaboration,3.2903225806451615,31
AJ Bell,tools & resources,3.413793103448276,29
AJ Bell,work-life balance,2.870967741935484,31
ASOS,culture,3.2093023255813953,258
ASOS,diversity & inclusion,2.9444444444444446,18
ASOS,growth & learning,2.550359712230216,278
ASOS,hr & recruitment,2.8076923076923075,208
ASOS,job role clarity,2.3508771929824563,57
ASOS,job security,1.4,35
ASOS,management,1.7544642857142858,224
ASOS,office & location,3.2857142857142856,203
ASOS,pay,2.335,200
ASOS,people,3.311787072243346,263
ASOS,performance feedback,1.8095238095238095,42
ASOS,perks & benefits,3.685236768802228,359
ASOS,remote work,3.0,5
ASOS,stress & pressure,2.404040404040404,99
ASOS,teamwork & collaboration,2.701986754966887,151
ASOS,tools & resources,2.864406779661017,118
ASOS,work-life balance,2.6444444444444444,225
AXA UK,culture,3.543859649122807,57
AXA UK,diversity & inclusion,4.25,12
AXA UK,growth & learning,3.534090909090909,88
AXA UK,hr & recruitment,3.192982456140351,57
AXA UK,job role clarity,3.1,20
AXA UK,job security,2.5,6
AXA UK,management,2.78125,64
AXA UK,office & location,3.057142857142857,35
AXA UK,pay,3.029850746268657,67
AXA UK,people,3.704225352112676,71
AXA UK,performance feedback,2.3333333333333335,12
AXA UK,perks & benefits,3.953125,64
AXA UK,remote work,3.125,8
AXA UK,stress & pressure,1.8,10
AXA UK,teamwork & collaboration,3.702702702702702,37
AXA UK,tools & resources,3.4545454545454546,55
AXA UK,work-life balance,3.730769230769231,52
Abcam,culture,4.153846153846154,91
Abcam,diversity & inclusion,4.25,4
Abcam,growth & learning,3.4745762711864407,118
Abcam,hr & recruitment,3.5135135135135136,37
Abcam,job role clarity,3.2666666666666666,15
Abcam,job security,2.5,4
Abcam,management,3.5306122448979593,49
Abcam,office & location,3.3026315789473686,76
Abcam,pay,2.4186046511627906,43
Abcam,people,4.119047619047619,84
Abcam,performance feedback,3.4,10
Abcam,perks & benefits,3.725,40
Abcam,remote work,4.75,4
Abcam,stress & pressure,3.119047619047619,42
Abcam,teamwork & collaboration,4.105263157894737,38
Abcam,tools & resources,3.8333333333333335,36
Abcam,work-life balance,4.0638297872340425,47
Accenture,culture,3.2404494382022473,445
Accenture,diversity & inclusion,3.933962264150943,106
Accenture,growth & learning,3.3583333333333334,1200
Accenture,hr & recruitment,3.2514851485148513,505
Accenture,job role clarity,2.7904411764705883,272
Accenture,job security,2.5,28
Accenture,management,2.250474383301708,527
Accenture,office & location,2.9107142857142856,224
Accenture,pay,2.565068493150685,584
Accenture,people,3.617610062893082,795
Accenture,performance feedback,2.132978723404255,188
Accenture,perks & benefits,3.849002849002849,351
Accenture,remote work,3.945945945945946,37
Accenture,stress & pressure,1.8975265017667844,283
Accenture,teamwork & collaboration,3.2869198312236287,237
Accenture,tools & resources,3.293827160493827,405
Accenture,work-life balance,2.6161473087818696,706
Accor,culture,3.7096774193548385,31
Accor,diversity & inclusion,5.0,1
Accor,growth & learning,3.576923076923077,52
Accor,hr & recruitment,3.0444444444444443,45
Accor,job role clarity,2.857142857142857,7
Accor,job security,1.0,4
Accor,management,2.15,40
Accor,office & location,3.047619047619047,21
Accor,pay,1.8846153846153848,78
Accor,people,3.5428571428571427,35
Accor,performance feedback,1.0,1
Accor,perks & benefits,3.6486486486486487,37
Accor,remote work,4.0,2
Accor,stress & pressure,1.8095238095238095,21
Accor,teamwork & collaboration,3.526315789473684,19
Accor,tools & resources,2.4444444444444446,9
Accor,work-life balance,2.574074074074074,54
Active Care Group,culture,3.0,13
Active Care Group,diversity & inclusion,2.7073784242779375,0
Active Care Group,growth & learning,3.5384615384615383,13
Active Care Group,hr & recruitment,2.65,20
Active Care Group,job role clarity,3.6666666666666665,3
Active Care Group,job security,1.0,1
Active Care Group,management,2.736842105263158,19
Active Care Group,office & location,2.8125,16
Active Care Group,pay,2.4814814814814814,27
Active Care Group,people,3.526315789473684,19
Active Care Group,performance feedback,1.5,2
Active Care Group,perks & benefits,3.0,5
Active Care Group,remote work,2.6338075522834328,0
Active Care Group,stress & pressure,2.125,8
Active Care Group,teamwork & collaboration,3.764705882352941,17
Active Care Group,tools & resources,3.375,16
Active Care Group,work-life balance,2.586206896551724,29
Adecco,culture,3.5,28
Adecco,diversity & inclusion,4.0,1
Adecco,growth & learning,3.636363636363636,33
Adecco,hr & recruitment,3.176470588235294,51
Adecco,job role clarity,2.0,7
Adecco,job security,2.8,5
Adecco,management,2.5517241379310347,29
Adecco,office & location,2.9444444444444446,18
Adecco,pay,2.91044776119403,67
Adecco,people,3.5238095238095237,21
Adecco,performance feedback,2.4444444444444446,9
Adecco,perks & benefits,2.933333333333333,15
Adecco,remote work,2.6338075522834328,0
Adecco,stress & pressure,1.7777777777777777,9
Adecco,teamwork & collaboration,3.84,25
Adecco,tools & resources,4.25,12
Adecco,work-life balance,2.6666666666666665,51
Age UK The National Charity,culture,3.0384615384615383,26
Age UK The National Charity,diversity & inclusion,4.0,1
Age UK The National Charity,growth & learning,2.9411764705882355,17
Age UK The National Charity,hr & recruitment,3.3666666666666667,30
Age UK The National Charity,job role clarity,3.0,5
Age UK The National Charity,job security,1.0,2
Age UK The National Charity,management,2.935483870967742,31
Age UK The National Charity,office & location,3.3125,16
Age UK The National Charity,pay,1.6363636363636365,33
Age UK The National Charity,people,3.8461538461538463,26
Age UK The National Charity,performance feedback,5.0,1
Age UK The National Charity,perks & benefits,3.4545454545454546,11
Age UK The National Charity,remote work,2.6338075522834328,0
Age UK The National Charity,stress & pressure,2.6666666666666665,3
Age UK The National Charity,teamwork & collaboration,3.7058823529411766,34
Age UK The National Charity,tools & resources,3.4166666666666665,24
Age UK The National Charity,work-life balance,3.5,22
AlixPartners,culture,3.5384615384615383,26
AlixPartners,diversity & inclusion,4.5,2
AlixPartners,growth & learning,3.28125,32
AlixPartners,hr & recruitment,2.6153846153846154,13
AlixPartners,job role clarity,2.5,4
AlixPartners,job security,1.825653528186414,0
AlixPartners,management,3.3,20
AlixPartners,office & location,3.6,5
AlixPartners,pay,3.05,20
AlixPartners,people,3.967741935483871,31
AlixPartners,performance feedback,2.0,1
AlixPartners,perks & benefits,3.8333333333333335,6
AlixPartners,remote work,2.6338075522834328,0
AlixPartners,stress & pressure,2.176470588235294,17
AlixPartners,teamwork & collaboration,3.863636363636364,22
AlixPartners,tools & resources,4.1,10
AlixPartners,work-life balance,2.5,24
American Express,culture,3.5824175824175826,182
American Express,diversity & inclusion,3.4642857142857144,28
American Express,growth & learning,3.2955465587044532,247
American Express,hr & recruitment,2.990566037735849,106
American Express,job role clarity,2.9411764705882355,51
American Express,job security,2.210526315789474,19
American Express,management,2.4690721649484537,194
American Express,office & location,3.4893617021276597,94
American Express,pay,2.5357142857142856,168
American Express,people,3.5723270440251573,159
American Express,performance feedback,2.2333333333333334,30
