Unnamed: 0,firm,Count,industry,suggestion
331,Tesco,5318,grocery,remove
224,McDonald s,3348,restaurant_service,remove
185,J Sainsbury,2946,grocery,remove
239,NHS,2881,corporate/desk,keep
46,Barclays,2345,corporate/desk,keep
4,ASDA,2208,grocery,remove
221,Marks and Spencer,2151,grocery,remove
275,Primark,1909,retail,remove
278,PwC,1887,corporate/desk,keep
110,Deloitte,1883,corporate/desk,keep
122,EY,1845,corporate/desk,keep
398,Waitrose,1841,grocery,remove
8,Accenture,1737,corporate/desk,keep
61,Boots,1561,retail,remove
414,next,1559,corporate/desk,keep
157,HSBC Holdings,1532,corporate/desk,keep
194,KPMG,1515,corporate/desk,keep
74,Capita,1498,corporate/desk,keep
214,Lloyds Banking Group,1489,corporate/desk,keep
65,British Airways,1465,corporate/desk,keep
236,Morrisons,1398,grocery,remove
39,BT,1348,corporate/desk,keep
116,Dixons Carphone,1339,corporate/desk,keep
191,John Lewis and Partners,1292,corporate/desk,keep
395,Vodafone,1278,corporate/desk,keep
174,IBM,1259,corporate/desk,keep
163,Hays,1122,corporate/desk,keep
109,Debenhams,1119,corporate/desk,keep
311,Sky,1111,corporate/desk,keep
86,Co op,1067,corporate/desk,keep
184,J P Morgan,1052,corporate/desk,keep
189,Jaguar Land Rover,994,corporate/desk,keep
294,Royal Mail,959,corporate/desk,keep
300,Sainsbury s,868,grocery,remove
178,Imperial College London,825,education,remove
60,Booking com,816,corporate/desk,keep
141,GlaxoSmithKline,800,corporate/desk,keep
151,H and M,780,corporate/desk,keep
2,ALDI,777,grocery,remove
211,Lidl,772,grocery,remove
303,Santander,771,corporate/desk,keep
29,B and Q,759,corporate/desk,keep
31,BBC,753,corporate/desk,keep
360,University College London,697,education,remove
113,Deutsche Bank,673,corporate/desk,keep
333,The British Army,672,corporate/desk,keep
299,Sage,651,corporate/desk,keep
28,B and M Retail,625,corporate/desk,keep
57,Bloomberg L P,620,corporate/desk,keep
264,Oxford University,618,education,remove
367,University of Cambridge,602,education,remove
142,Goldman Sachs,601,corporate/desk,keep
394,Virgin Media,577,corporate/desk,keep
160,Harrods,574,retail,remove
348,Topshop,569,corporate/desk,keep
23,Apple,568,corporate/desk,keep
5,ASOS,561,corporate/desk,keep
143,Google,556,corporate/desk,keep
82,Citi,555,corporate/desk,keep
280,REED,553,corporate/desk,keep
246,Nationwide Building Society,552,corporate/desk,keep
37,BP,544,corporate/desk,keep
242,Nando s UK and IRE,536,corporate/desk,keep
247,Network Rail,535,corporate/desk,keep
290,River Island Clothing,527,retail,remove
261,Oracle,511,corporate/desk,keep
231,Microsoft,501,corporate/desk,keep
90,Compass Group,499,corporate/desk,keep
351,Travelodge Hotels UK,487,hospitality,remove
357,Unilever,482,corporate/desk,keep
396,WHSmith,479,corporate/desk,keep
346,Thomson Reuters,474,corporate/desk,keep
197,King s College London,471,education,remove
248,New Look,470,retail,remove
408,XPO Logistics,467,corporate/desk,keep
350,Transport for London,460,corporate/desk,keep
69,Bupa,455,corporate/desk,keep
