,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,year,pros_clean,cons_clean,headline_clean,too_long_pro,too_long_con,Clean_pro_aspect_sentiments,Clean_con_aspect_sentiments,pro_aspect_sentiments,con_aspect_sentiments
103328,Taylor-Wimpey,2020-05-19, Commercial Team,Current Employee,"Warwick, West Midlands, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,"Respectable, genuinely caring company to work for","Great people who honestly tell it like it is, so you always know where you are and what needs doing. Flexible and caring are genuine company values.","From my own personal experience of working for the company for the last 3.5 years, I can only think of good things about my employers.",2020,great people who honestly tell it like it be so you always know where you be and what need do flexible and caring be genuine company value,from my own personal experience of work for the company for the last 3.5 year I can only think of good thing about my employer,respectable genuinely care company to work for,False,False,"{'flexibility': {1: 0.012394333, 2: 0.0154227605, 3: 0.08900554, 4: 0.3700784, 5: 0.51309896, 'label': 5}, 'people': {1: 0.009193428, 2: 0.009953671, 3: 0.064178206, 4: 0.31322458, 5: 0.6034501, 'label': 5}}",{},"{'culture': {1: 0.0054926197, 2: 0.008679012, 3: 0.06993289, 4: 0.38793018, 5: 0.5279653, 'label': 5}, 'flexibility': {1: 0.0057407464, 2: 0.009618518, 3: 0.07154141, 4: 0.39807448, 5: 0.51502484, 'label': 5}, 'people': {1: 0.0045566326, 2: 0.0069867, 3: 0.059992403, 4: 0.36913258, 5: 0.55933166, 'label': 5}}",{}
37966,Dixons-Carphone,2017-11-30, Anonymous Employee,"Former Employee, more than 1 year","Mile End, England, England",1,1.0,2.0,,1.0,1.0,1.0,x,r,r,No recommended,"Team were lovely, got along with all","Management was extremely poor. Store was short staffed which put extra pressure on us. Long hours of standing - even if you try and sit down on till for example, they will make a fuss and tell you to get up. Shifts below 5.5 hours aren't entitled to a break. Shifts 6+ hrs up to 11.5 hrs get 30 minutes break.  Managers don't put staff interest at heart at any point. Not to mention the rota system is a mess.",2017,team be lovely get along with all,management be extremely poor store be short staff which put extra pressure on we long hour of standing even if you try and sit down on till for example they will make a fuss and tell you to get up shift below 5.5 hour be not entitle to a break shift 6 + hrs up to 11.5 hrs get 30 minute break manager do not put staff interest at heart at any point not to mention the rota system be a mess,no recommend,False,False,"{'teamwork & collaboration': {1: 0.00762004, 2: 0.011042383, 3: 0.12641406, 4: 0.457125, 5: 0.39779848, 'label': 4}}","{'management': {1: 0.68969065, 2: 0.25776798, 3: 0.045231815, 4: 0.005545267, 5: 0.0017642848, 'label': 1}, 'stress & pressure': {1: 0.67666465, 2: 0.2709554, 3: 0.044497028, 4: 0.005873273, 5: 0.0020096565, 'label': 1}, 'flexibility': {1: 0.59053683, 2: 0.3331705, 3: 0.06641456, 4: 0.007790772, 5: 0.0020873896, 'label': 1}}","{'teamwork & collaboration': {1: 0.004922242, 2: 0.007789663, 3: 0.097964786, 4: 0.46510214, 5: 0.4242212, 'label': 4}}","{'management': {1: 0.6237302, 2: 0.32596427, 3: 0.043706886, 4: 0.005088028, 5: 0.0015106575, 'label': 1}, 'work-life balance': {1: 0.55039805, 2: 0.37835938, 3: 0.061809663, 4: 0.0074249366, 5: 0.0020080192, 'label': 1}, 'stress & pressure': {1: 0.6281552, 2: 0.32461026, 3: 0.040134765, 4: 0.0052686576, 5: 0.0018310961, 'label': 1}, 'flexibility': {1: 0.5390655, 2: 0.38988078, 3: 0.061844476, 4: 0.0073031676, 5: 0.001906121, 'label': 1}}"
38898,Dixons-Carphone,2021-05-23, Portfolio Analyst,"Current Employee, more than 1 year","London, England, England",5,,,,,,,o,o,o,Good work life balance,Very good work life balance,Not the best wokr life blanace,2021,very good work life balance,not the well wokr life blanace,good work life balance,False,False,"{'work-life balance': {1: 0.004103686, 2: 0.00619046, 3: 0.07843126, 4: 0.48263958, 5: 0.42863503, 'label': 4}}",{},"{'work-life balance': {1: 0.004103686, 2: 0.00619046, 3: 0.07843126, 4: 0.48263958, 5: 0.42863503, 'label': 4}}",{}
97703,Sainsbury-s,2020-11-14, Merchandising Administrative Assistant,"Former Employee, more than 1 year","Ansty, West Midlands, England, England",4,5.0,4.0,2.0,2.0,3.0,3.0,v,o,v,Good place to work,All levels of the business can get involved in meetings,Progression can be difficult at TU,2020,all level of the business can get involve in meeting,progression can be difficult at tu,good place to work,False,False,{},"{'growth': {1: 0.20214365, 2: 0.39117256, 3: 0.31772217, 4: 0.072787404, 5: 0.016174085, 'label': 2}}",{},"{'growth': {1: 0.20214365, 2: 0.39117256, 3: 0.31772217, 4: 0.072787404, 5: 0.016174085, 'label': 2}}"
91761,PwC,2020-08-03, Audit Senior Associate,"Current Employee, more than 3 years","London, England, England",5,,,,,,,o,o,o,Decent,"Great development, socially brilliant, develop a wide network","Long hours, underpaid, stressful, clients find you annoying",2020,great development socially brilliant develop a wide network,long hour underpaid stressful client find you annoying,decent,False,False,"{'growth': {1: 0.0045558275, 2: 0.0051598796, 3: 0.04338251, 4: 0.336745, 5: 0.61015683, 'label': 5}}","{'stress & pressure': {1: 0.61672354, 2: 0.2654539, 3: 0.08517393, 4: 0.021329425, 5: 0.011319139, 'label': 1}}","{'growth': {1: 0.0042794403, 2: 0.004665843, 3: 0.03487, 4: 0.30844033, 5: 0.64774436, 'label': 5}}","{'work-life balance': {1: 0.4971649, 2: 0.39256525, 3: 0.086249836, 4: 0.015350296, 5: 0.008669668, 'label': 1}, 'stress & pressure': {1: 0.60453486, 2: 0.30042857, 3: 0.06609297, 4: 0.016488753, 5: 0.012454823, 'label': 1}}"
103598,Tesco,2015-10-09, Line Manager,"Current Employee, more than 5 years","Nottingham, England, England",1,1.0,2.0,,1.0,2.0,1.0,x,r,r,Manager,There is no pros at all,Everything ... Senior managers need training on how to treat people correctly,2015,there be no pro at all,everything senior manager need training on how to treat people correctly,manager,False,False,{},"{'people': {1: 0.484324, 2: 0.2631904, 3: 0.14507997, 4: 0.064573884, 5: 0.042831782, 'label': 1}, 'training & onboarding': {1: 0.41909108, 2: 0.28249452, 3: 0.17321245, 4: 0.08061669, 5: 0.044585172, 'label': 1}}",{},"{'management': {1: 0.54876184, 2: 0.27302116, 3: 0.112659685, 4: 0.041111868, 5: 0.024445418, 'label': 1}, 'people': {1: 0.55443543, 2: 0.2672445, 3: 0.10658235, 4: 0.042910192, 5: 0.028827593, 'label': 1}, 'training & onboarding': {1: 0.5114892, 2: 0.28187397, 3: 0.12472987, 4: 0.051403377, 5: 0.030503534, 'label': 1}}"
107256,Tesco,2020-12-17, Sales Assistant,"Former Employee, less than 1 year","Rochdale, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,o,o,o,Good,I liked working here a lot,Hours got confusing at time’s,2020,I like work here a lot,hour get confusing at time ’s,good,False,False,{},{},{},"{'work-life balance': {1: 0.26959595, 2: 0.39180228, 3: 0.26928633, 4: 0.05499218, 5: 0.014323247, 'label': 2}}"
41593,Everyone-Active,2021-05-05, Contract Manager,"Current Employee, more than 3 years","Amersham, England, England",5,4.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Great company for developing and progressing,"Great for training, development and opportunities to progress.",Limited health care provisions for teams.,2021,great for training development and opportunity to progress,limited health care provision for team,great company for develop and progress,False,False,"{'growth': {1: 0.0029376699, 2: 0.004163271, 3: 0.064014405, 4: 0.45118532, 5: 0.47769937, 'label': 5}, 'training & onboarding': {1: 0.0024668905, 2: 0.0033423228, 3: 0.05529131, 4: 0.45735124, 5: 0.4815482, 'label': 5}}","{'teamwork & collaboration': {1: 0.34565082, 2: 0.3566375, 3: 0.21900359, 4: 0.062284175, 5: 0.016423898, 'label': 2}}","{'growth': {1: 0.0019980085, 2: 0.0028315324, 3: 0.05298322, 4: 0.43282285, 5: 0.50936437, 'label': 5}, 'training & onboarding': {1: 0.0016458312, 2: 0.0022380142, 3: 0.044213474, 4: 0.43554378, 5: 0.5163589, 'label': 5}}","{'teamwork & collaboration': {1: 0.36205897, 2: 0.37431842, 3: 0.19890869, 4: 0.05121377, 5: 0.013500223, 'label': 2}}"
68997,Manpower,2015-09-11, Operations Manager,"Current Employee, more than 10 years","Birmingham, England, England",5,2.0,5.0,,5.0,4.0,4.0,v,v,v,Operations manager,Great company to work up through the ranks and success is recognised and promotion up to senior level very achievable.  Develop their people. Great team and people who are passionate about what they do and board directors are accessible.,"Work life balance is a challenge, long hours required to do what's needed with resource available",2015,great company to work up through the rank and success be recognise and promotion up to senior level very achievable develop their people great team and people who be passionate about what they do and board director be accessible,work life balance be a challenge long hour require to do what be need with resource available,operation manager,False,False,"{'growth': {1: 0.0049938196, 2: 0.006608869, 3: 0.053465564, 4: 0.35860035, 5: 0.5763314, 'label': 5}, 'people': {1: 0.005493732, 2: 0.007111798, 3: 0.05472779, 4: 0.34564972, 5: 0.58701694, 'label': 5}, 'tools & resources': {1: 0.0044581746, 2: 0.006039364, 3: 0.05026146, 4: 0.3511011, 5: 0.58813995, 'label': 5}, 'teamwork & collaboration': {1: 0.0043363734, 2: 0.0060597574, 3: 0.05755003, 4: 0.37776875, 5: 0.55428505, 'label': 5}}","{'work-life balance': {1: 0.20418502, 2: 0.21888399, 3: 0.26206908, 4: 0.20134875, 5: 0.11351321, 'label': 3}}","{'growth': {1: 0.0018596486, 2: 0.0026329036, 3: 0.030806959, 4: 0.33250707, 5: 0.63219345, 'label': 5}, 'people': {1: 0.0019413092, 2: 0.002741362, 3: 0.031483848, 4: 0.3210416, 5: 0.6427918, 'label': 5}, 'tools & resources': {1: 0.0017508632, 2: 0.0025566798, 3: 0.030216055, 4: 0.33388, 5: 0.6315964, 'label': 5}, 'teamwork & collaboration': {1: 0.0018066064, 2: 0.002751435, 3: 0.0351492, 4: 0.35788494, 5: 0.6024078, 'label': 5}}","{'work-life balance': {1: 0.072500505, 2: 0.11809782, 3: 0.26106843, 4: 0.34242037, 5: 0.20591286, 'label': 4}, 'stress & pressure': {1: 0.059375048, 2: 0.10421048, 3: 0.24503286, 4: 0.36739302, 5: 0.22398853, 'label': 4}}"
29166,Co-op,2015-10-11, Customer Service,"Current Employee, more than 5 years","Erdington, England, England",5,5.0,5.0,,5.0,4.0,5.0,v,v,v,customer service assistant,you always have a chance to better your self with training course ans help available u can work ur way up the chain,customers can be rude and have no respect for u as all you are doing is ur job yes there are risks like shop lifters and robbery bit robbery is very rare,2015,you always have a chance to better your self with training course an help available u can work ur way up the chain,customer can be rude and have no respect for u as all you be do be ur job yes there be risk like shop lifter and robbery bit robbery be very rare,customer service assistant,False,False,"{'training & onboarding': {1: 0.016547047, 2: 0.0206262, 3: 0.13710359, 4: 0.4437137, 5: 0.38200945, 'label': 4}}",{},"{'training & onboarding': {1: 0.017157478, 2: 0.021185476, 3: 0.13036516, 4: 0.42652926, 5: 0.40476266, 'label': 4}}",{}
