Aspect,Count
work,24822
good,23447
people,14241
management,11997
pay,11853
working,11437
hours,10935
staff,10465
it,10436
company,9423
team,7437
opportunities,6899
benefits,6888
they,6795
environment,6751
time,6587
job,6575
training,6150
flexible,6132
friendly,6008
life,5958
culture,5475
progression,4975
career,4971
managers,4945
salary,4930
balance,4879
place,4652
colleagues,4616
life balance,4419
support,3882
development,3299
discount,3247
business,3059
employees,3047
new,2969
experience,2945
customers,2938
office,2876
times,2549
opportunity,2450
flexible working,2441
day,2436
none,2296
manager,2283
care,2164
shifts,2118
change,2111
feel,2080
progress,2072
cons,2055
atmosphere,2045
paid,1995
role,1994
busy,1967
off,1954
overtime,1929
slow,1899
bonus,1884
help,1855
learn,1840
everyone,1833
teams,1753
shift,1740
fun,1736
days,1731
money,1699
flexibility,1677
store,1662
organisation,1640
customer,1601
home,1596
projects,1575
career progression,1573
employee,1567
leadership,1554
location,1523
service,1502
learning,1476
roles,1472
communication,1464
pension,1447
pressure,1444
structure,1433
skills,1427
leave,1404
working environment,1388
travel,1348
holiday,1328
wage,1251
food,1231
family,1229
process,1225
industry,1209
sales,1196
senior management,1184
promotion,1155
holidays,1150
growth,1145
scheme,1127
clients,1124
targets,1122
jobs,1115
processes,1106
perks,1103
personal,1100
professional,1072
values,1063
hr,1063
politics,1056
systems,1055
members,1055
departments,1037
department,1035
market,990
health,986
social,977
facilities,967
start,967
staff discount,966
brand,965
london,937
hour,936
work environment,928
areas,918
changes,913
number,892
breaks,885
paced,882
performance,877
friends,876
workers,867
line,862
workload,860
retail,858
salaries,856
package,855
grow,848
technology,840
diversity,832
discounts,828
offices,825
products,822
system,820
room,819
contract,815
quality,811
variety,789
students,773
rate,772
corporate,766
university,740
christmas,714
exposure,705
security,701
bullying,700
looking,698
minimum,697
bank,692
bonuses,682
research,681
turnover,678
area,669
responsibility,662
leaders,660
break,659
shop,653
uniform,629
knowledge,619
client,619
firm,607
terms,607
political,603
stress,600
offer,594
network,593
decisions,588
expectations,584
person,584
parking,583
promoted,578
bureaucracy,577
future,576
floor,572
value,564
direction,561
community,560
building,560
employer,559
sick,559
range,558
tasks,557
weekends,555
project,554
student,551
recognition,546
group,541
promotions,538
wages,535
stores,534
bureaucratic,532
strategy,529
development opportunities,526
services,525
conditions,524
events,521
pros,520
problems,520
customer service,518
canteen,514
commission,514
cost,514
share,510
career development,510
resources,508
lunch,504
name,503
position,496
co,491
site,488
gym,483
contracts,479
incentives,478
rewards,472
school,471
approach,466
decision,466
face,463
fit,462
minimum wage,458
pace,454
management team,453
tech,452
ceo,450
workplace,444
job security,441
compensation,438
allowance,435
basic,434
recruitment,431
talent,430
team work,429
loads,428
call,427
plan,421
attitude,417
growing,416
policy,412
public,411
car,404
options,403
morale,402
space,399
reward,399
benefit,390
colleague,384
impact,384
live,384
challenge,378
individuals,378
city,377
size,376
meeting,374
feeling,373
vision,371
feedback,368
partners,367
wellbeing,365
reputation,363
innovation,355
effort,355
load,353
micro,351
admin,350
benefits package,349
organised,345
supervisors,342
interview,342
autonomy,341
