firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
ALDI,0.0,0.0,0.0,3.3333333333333335,4.0,2.5,0.0,4.5,3.8333333333333335,3.25,4.0,0.0,1.5,4.333333333333333,4.0,2.4,0.0,1.875
ASDA,4.0,0.0,0.0,2.6,4.5,4.5,0.0,1.625,2.7777777777777777,2.8,0.0,0.0,1.0,0.0,0.0,3.5,0.0,3.8
ASOS,3.0,3.5,4.0,4.0,1.0,0.0,0.0,1.3333333333333333,1.6666666666666667,2.5,0.0,0.0,0.0,2.5,5.0,0.0,0.0,2.5
Abcam,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accenture,4.4,3.4,4.5,5.0,3.1,3.0,0.0,1.3333333333333333,3.5,3.75,2.0,0.0,1.6666666666666667,3.0,5.0,3.0,2.0,2.1666666666666665
Active-Care-Group,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Adecco,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
American-Express,4.5,5.0,0.0,0.0,4.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amey,0.0,0.0,2.0,4.0,0.0,4.0,0.0,1.0,4.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Anglian-Water,5.0,5.0,0.0,4.5,5.0,1.0,0.0,5.0,1.0,4.666666666666667,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.5
Anglo-American,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aon,5.0,0.0,0.0,4.0,2.5,2.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0
Apple,4.5,4.5,0.0,0.0,2.3333333333333335,0.0,0.0,1.0,2.5,5.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.6666666666666665
Arcadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AstraZeneca,4.333333333333333,1.0,0.0,5.0,3.0,0.0,0.0,1.0,2.5,4.5,1.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0
Aviva,3.0,3.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
B-and-M-Retail,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.3333333333333335,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.3333333333333335
B-and-Q,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5
BAT,4.5,2.0,0.0,5.0,3.0,0.0,0.0,2.5,4.0,4.5,0.0,1.0,0.0,3.0,4.0,0.0,4.0,1.0
BBC,5.0,3.0,5.0,4.0,2.25,0.0,0.0,1.6666666666666667,1.3333333333333333,3.8,0.0,0.0,0.0,5.0,1.0,5.0,0.0,3.6666666666666665
BDO,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,2.5,4.0,0.0,0.0,0.0
BNY-Mellon,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,1.0
BP,4.0,3.5,0.0,0.0,3.5,0.0,0.0,3.3333333333333335,0.0,3.0,4.0,0.0,0.0,3.0,4.5,4.0,0.0,0.0
BT,4.0,2.5,0.0,2.5,2.0,0.0,0.0,1.0,3.0,3.75,1.0,4.0,0.0,2.6666666666666665,2.3333333333333335,2.3333333333333335,0.0,3.111111111111111
Babcock-International-Group,5.0,1.0,0.0,4.0,1.75,4.0,0.0,1.75,2.6666666666666665,3.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,4.0
Babylon-Health,0.0,1.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bain-and-Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Balfour-Beatty,4.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Bannatyne-Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Barchester-Healthcare,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Barclays,4.666666666666667,3.5,0.0,5.0,1.6666666666666667,4.0,0.0,1.5,3.1666666666666665,3.75,0.0,0.0,3.0,2.5,1.6666666666666667,2.5,2.5,4.0
Barnardo-s,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Barratt-Developments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Barts-Health-NHS-Trust,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Bayer,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0
Birmingham-City-University,0.0,5.0,0.0,5.0,4.5,0.0,0.0,1.0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Bloomberg-L-P,2.0,3.25,4.0,2.0,1.0,0.0,0.0,1.5,4.0,3.3333333333333335,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0
Blue-Yonder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Booking-com,4.5,4.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
Boots,4.0,4.0,0.0,1.3333333333333333,2.5,1.0,0.0,1.5714285714285714,2.2,4.166666666666667,0.0,0.0,1.0,2.5,2.5,3.25,0.0,1.875
Boots-Opticians,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Brewin-Dolphin,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British-Airways,4.0,2.3333333333333335,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.4,0.0,0.0,1.0,5.0,1.0,3.0,3.75,1.8
British-Red-Cross,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,5.0
Bullhorn,5.0,4.0,0.0,5.0,3.6666666666666665,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Bupa,0.0,3.3333333333333335,3.5,0.0,5.0,4.0,0.0,2.3333333333333335,1.0,4.5,0.0,0.0,0.0,3.6666666666666665,5.0,0.0,0.0,3.0
Burberry,4.0,4.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
CBRE,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0
CVS-Group,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Capita,4.0,2.6666666666666665,0.0,1.0,3.8,4.0,0.0,1.5714285714285714,2.75,4.0,0.0,0.0,0.0,2.3333333333333335,3.0,2.0,0.0,3.0
Capital-Group,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0
