firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
AFH-Wealth-Management,3.0,5.0,,,,,,3.3333333333333335,5.0,2.5,2.5,,,2.5,,3.0,,4.0
AJ-Bell,2.25,5.0,,,4.428571428571429,,,4.5,3.3333333333333335,5.0,,,,4.25,5.0,5.0,,
ALDI,4.0,3.0833333333333335,,2.3461538461538463,3.4,2.642857142857143,4.0,1.608695652173913,3.96,3.533333333333333,2.5,,1.4285714285714286,3.909090909090909,1.25,3.4,,2.391304347826087
AQA,3.5,4.0,,4.0,2.3333333333333335,,,2.3333333333333335,2.3333333333333335,3.0,,,2.0,3.0,,4.0,,4.0
ASDA,3.6,3.2962962962962963,,2.953125,2.269230769230769,2.7333333333333334,1.0,1.8641975308641976,2.954022988505747,3.4242424242424243,,,1.5,3.6153846153846154,2.3,2.1538461538461537,,2.6770833333333335
ASOS,4.052631578947368,3.5,5.0,3.0,2.1818181818181817,3.0,,1.5,2.5,4.0,1.0,5.0,2.25,3.25,2.6666666666666665,5.0,4.0,2.888888888888889
AXA-UK,4.0,3.25,5.0,4.0,2.888888888888889,4.0,,3.5,2.5,4.111111111111111,1.0,1.0,1.0,3.3333333333333335,3.375,1.0,,4.0
Abcam,4.0,4.142857142857143,,5.0,4.0,3.0,1.0,2.5,2.5,4.8,4.0,,,4.0,3.5,1.0,3.0,5.0
Accenture,3.9285714285714284,3.2972972972972974,3.7777777777777777,3.8,2.962962962962963,2.962962962962963,2.3333333333333335,2.111111111111111,2.608695652173913,3.6266666666666665,1.5,3.8,1.65,3.6842105263157894,3.5,3.6206896551724137,3.0,2.593220338983051
Accor,3.3333333333333335,3.4,,,4.25,2.0,,3.25,2.625,3.5,,4.0,1.6666666666666667,,4.0,4.5,,2.6666666666666665
Achieving-for-Children,,,,,,,,,,,,,,4.0,,,,
ActionCOACH,4.0,,,,,,,,,,,,,,,,,
Active-Care-Group,,,,4.0,4.0,,,4.0,4.0,4.0,,,,4.0,2.5,,4.0,2.5
Adecco,,1.0,,4.0,4.5,,,2.5,2.5,4.0,,,2.5,4.0,,4.5,,3.5
Age-UK-The-National-Charity,4.0,,,4.0,4.0,,,1.0,,3.75,,,,4.0,1.0,4.0,,
AlixPartners,4.0,3.0,,,2.0,,,3.5,3.3333333333333335,4.0,,,1.5,3.0,,2.0,2.5,2.6666666666666665
American-Express,4.111111111111111,4.294117647058823,3.6,3.8181818181818183,3.235294117647059,3.0,1.6666666666666667,2.5,2.375,3.6153846153846154,,3.6666666666666665,4.0,3.4615384615384617,2.8,3.25,,4.0
Amey,4.0,3.8,,4.333333333333333,3.2,1.5,,1.8,2.5,4.166666666666667,3.0,,1.0,3.625,4.666666666666667,,1.5,3.2
Angard-Staffing,1.0,4.0,,2.2,,5.0,,1.25,4.2,1.0,,,1.5,4.0,,1.0,,3.25
Anglian-Water,4.555555555555555,3.6666666666666665,,3.7142857142857144,4.0,4.0,,1.0,3.1666666666666665,3.25,3.6666666666666665,4.0,2.5,4.285714285714286,4.090909090909091,4.333333333333333,,4.666666666666667
Anglo-American,4.0,,,2.0,3.0,,,1.0,,4.0,,,,,1.0,,,2.0
Animal-and-Plant-Health-Agency,,,,,,,,4.0,,4.0,3.0,,,,,,,
Aon,4.333333333333333,2.888888888888889,3.6666666666666665,3.5714285714285716,3.4,2.3333333333333335,,2.8,1.8,3.7142857142857144,3.5,3.0,2.0,4.166666666666667,4.0,3.5,,3.6666666666666665
Apple,4.277777777777778,3.85,,3.727272727272727,2.3333333333333335,2.5714285714285716,,2.6875,3.230769230769231,4.1,3.0,2.0,2.6666666666666665,3.875,5.0,2.5,3.0,3.411764705882353
Arcadia,2.6666666666666665,3.0,,2.75,1.75,,,2.0714285714285716,1.9,4.153846153846154,,,1.0,3.0,1.75,,,2.0
Arnold-Clark,,,,,1.0,4.0,,2.3333333333333335,3.0,,,,1.0,4.0,5.0,,4.0,3.6
AstraZeneca,4.0,3.0,2.5,4.25,2.8,2.625,,2.2857142857142856,2.0,2.6923076923076925,1.0,4.0,2.5,2.857142857142857,3.2857142857142856,4.0,,2.5555555555555554
Aviva,3.8125,3.1666666666666665,2.0,3.5714285714285716,2.6,1.0,1.0,1.4615384615384615,2.9,3.2142857142857144,,,1.0,2.0,2.75,4.333333333333333,,2.8461538461538463
B-and-M-Retail,2.857142857142857,3.909090909090909,,2.875,4.055555555555555,4.0,4.5,2.5714285714285716,1.5769230769230769,3.857142857142857,3.0,,1.5454545454545454,4.2105263157894735,4.0,3.7777777777777777,2.0,2.1538461538461537
