firm,aspect,avg_star_rating,n_mentions
AFH-Wealth-Management,benefits,3.0,2
AFH-Wealth-Management,culture,5.0,1
AFH-Wealth-Management,management,3.3333333333333335,3
AFH-Wealth-Management,pay,5.0,1
AFH-Wealth-Management,people,2.5,2
AFH-Wealth-Management,performance feedback,2.5,2
AFH-Wealth-Management,teamwork & collaboration,2.5,2
AFH-Wealth-Management,training & onboarding,3.0,2
AFH-Wealth-Management,work-life balance,4.0,1
AJ-Bell,benefits,2.25,4
AJ-Bell,culture,5.0,4
AJ-Bell,growth,4.428571428571429,7
AJ-Bell,management,4.5,2
AJ-Bell,pay,3.3333333333333335,3
AJ-Bell,people,5.0,2
AJ-Bell,teamwork & collaboration,4.25,4
AJ-Bell,tools & resources,5.0,2
AJ-Bell,training & onboarding,5.0,3
ALDI,benefits,4.0,1
ALDI,culture,3.0833333333333335,12
ALDI,flexibility,2.3461538461538463,26
ALDI,growth,3.4,15
ALDI,job role clarity,2.642857142857143,14
ALDI,job security,4.0,2
ALDI,management,1.608695652173913,23
ALDI,pay,3.96,50
ALDI,people,3.533333333333333,15
ALDI,performance feedback,2.5,2
ALDI,stress & pressure,1.4285714285714286,14
ALDI,teamwork & collaboration,3.909090909090909,11
ALDI,tools & resources,1.25,4
ALDI,training & onboarding,3.4,5
ALDI,work-life balance,2.391304347826087,46
AQA,benefits,3.5,4
AQA,culture,4.0,1
AQA,flexibility,4.0,3
AQA,growth,2.3333333333333335,3
AQA,management,2.3333333333333335,3
AQA,pay,2.3333333333333335,3
AQA,people,3.0,2
AQA,stress & pressure,2.0,1
AQA,teamwork & collaboration,3.0,2
AQA,training & onboarding,4.0,1
AQA,work-life balance,4.0,2
ASDA,benefits,3.6,20
ASDA,culture,3.2962962962962963,27
ASDA,flexibility,2.953125,64
ASDA,growth,2.269230769230769,26
ASDA,job role clarity,2.7333333333333334,15
ASDA,job security,1.0,1
ASDA,management,1.8641975308641976,81
ASDA,pay,2.954022988505747,87
ASDA,people,3.4242424242424243,99
ASDA,stress & pressure,1.5,28
ASDA,teamwork & collaboration,3.6153846153846154,26
ASDA,tools & resources,2.3,10
ASDA,training & onboarding,2.1538461538461537,13
ASDA,work-life balance,2.6770833333333335,96
ASOS,benefits,4.052631578947368,19
ASOS,culture,3.5,18
ASOS,diversity & inclusion,5.0,1
ASOS,flexibility,3.0,9
ASOS,growth,2.1818181818181817,22
ASOS,job role clarity,3.0,2
ASOS,management,1.5,12
ASOS,pay,2.5,8
ASOS,people,4.0,22
ASOS,performance feedback,1.0,1
ASOS,remote work,5.0,1
ASOS,stress & pressure,2.25,4
ASOS,teamwork & collaboration,3.25,8
ASOS,tools & resources,2.6666666666666665,9
ASOS,training & onboarding,5.0,1
ASOS,travel,4.0,1
ASOS,work-life balance,2.888888888888889,9
AXA-UK,benefits,4.0,3
AXA-UK,culture,3.25,4
AXA-UK,diversity & inclusion,5.0,1
AXA-UK,flexibility,4.0,1
AXA-UK,growth,2.888888888888889,9
AXA-UK,job role clarity,4.0,1
AXA-UK,management,3.5,4
AXA-UK,pay,2.5,6
AXA-UK,people,4.111111111111111,9
AXA-UK,performance feedback,1.0,1
AXA-UK,remote work,1.0,1
AXA-UK,stress & pressure,1.0,2
AXA-UK,teamwork & collaboration,3.3333333333333335,3
AXA-UK,tools & resources,3.375,8
AXA-UK,training & onboarding,1.0,1
AXA-UK,work-life balance,4.0,3
Abcam,benefits,4.0,3
Abcam,culture,4.142857142857143,7
Abcam,flexibility,5.0,2
Abcam,growth,4.0,8
Abcam,job role clarity,3.0,2
Abcam,job security,1.0,1
Abcam,management,2.5,2
Abcam,pay,2.5,2
Abcam,people,4.8,5
Abcam,performance feedback,4.0,1
Abcam,teamwork & collaboration,4.0,1
Abcam,tools & resources,3.5,4
Abcam,training & onboarding,1.0,1
Abcam,travel,3.0,1
Abcam,work-life balance,5.0,3
Accenture,benefits,3.9285714285714284,28
Accenture,culture,3.2972972972972974,37
Accenture,diversity & inclusion,3.7777777777777777,9
Accenture,flexibility,3.8,15
Accenture,growth,2.962962962962963,81
Accenture,job role clarity,2.962962962962963,27
Accenture,job security,2.3333333333333335,3
Accenture,management,2.111111111111111,27
Accenture,pay,2.608695652173913,46
Accenture,people,3.6266666666666665,75
Accenture,performance feedback,1.5,12
Accenture,remote work,3.8,5
Accenture,stress & pressure,1.65,20
Accenture,teamwork & collaboration,3.6842105263157894,19
Accenture,tools & resources,3.5,26
Accenture,training & onboarding,3.6206896551724137,29
Accenture,travel,3.0,12
Accenture,work-life balance,2.593220338983051,59
Accor,benefits,3.3333333333333335,3
Accor,culture,3.4,5
Accor,growth,4.25,4
Accor,job role clarity,2.0,2
Accor,management,3.25,4
Accor,pay,2.625,8
Accor,people,3.5,4
Accor,remote work,4.0,1
Accor,stress & pressure,1.6666666666666667,3
Accor,tools & resources,4.0,1
Accor,training & onboarding,4.5,6
Accor,work-life balance,2.6666666666666665,6
Achieving-for-Children,teamwork & collaboration,4.0,1
ActionCOACH,benefits,4.0,1
Active-Care-Group,flexibility,4.0,1
Active-Care-Group,growth,4.0,1
Active-Care-Group,management,4.0,1
Active-Care-Group,pay,4.0,1
Active-Care-Group,people,4.0,1
Active-Care-Group,teamwork & collaboration,4.0,2
Active-Care-Group,tools & resources,2.5,2
Active-Care-Group,travel,4.0,1
Active-Care-Group,work-life balance,2.5,2
Adecco,culture,1.0,1
Adecco,flexibility,4.0,1
Adecco,growth,4.5,2
Adecco,management,2.5,2
Adecco,pay,2.5,2
Adecco,people,4.0,1
Adecco,stress & pressure,2.5,2
Adecco,teamwork & collaboration,4.0,1
Adecco,training & onboarding,4.5,2
Adecco,work-life balance,3.5,4
Age-UK-The-National-Charity,benefits,4.0,1
Age-UK-The-National-Charity,flexibility,4.0,1
Age-UK-The-National-Charity,growth,4.0,1
Age-UK-The-National-Charity,management,1.0,1
Age-UK-The-National-Charity,people,3.75,4
Age-UK-The-National-Charity,teamwork & collaboration,4.0,2
Age-UK-The-National-Charity,tools & resources,1.0,1
Age-UK-The-National-Charity,training & onboarding,4.0,1
AlixPartners,benefits,4.0,1
AlixPartners,culture,3.0,3
AlixPartners,growth,2.0,1
AlixPartners,management,3.5,2
AlixPartners,pay,3.3333333333333335,3
AlixPartners,people,4.0,2
AlixPartners,stress & pressure,1.5,2
AlixPartners,teamwork & collaboration,3.0,2
AlixPartners,training & onboarding,2.0,1
AlixPartners,travel,2.5,2
AlixPartners,work-life balance,2.6666666666666665,3
American-Express,benefits,4.111111111111111,9
American-Express,culture,4.294117647058823,17
American-Express,diversity & inclusion,3.6,5
American-Express,flexibility,3.8181818181818183,11
American-Express,growth,3.235294117647059,17
American-Express,job role clarity,3.0,5
American-Express,job security,1.6666666666666667,3
American-Express,management,2.5,12
American-Express,pay,2.375,8
American-Express,people,3.6153846153846154,13
American-Express,remote work,3.6666666666666665,3
American-Express,stress & pressure,4.0,1
American-Express,teamwork & collaboration,3.4615384615384617,13
American-Express,tools & resources,2.8,5
American-Express,training & onboarding,3.25,4
American-Express,work-life balance,4.0,13
Amey,benefits,4.0,2
Amey,culture,3.8,5
Amey,flexibility,4.333333333333333,3
Amey,growth,3.2,10
Amey,job role clarity,1.5,2
Amey,management,1.8,5
Amey,pay,2.5,8
Amey,people,4.166666666666667,12
Amey,performance feedback,3.0,2
Amey,stress & pressure,1.0,3
Amey,teamwork & collaboration,3.625,8
Amey,tools & resources,4.666666666666667,3
Amey,travel,1.5,2
Amey,work-life balance,3.2,10
Angard-Staffing,benefits,1.0,1
Angard-Staffing,culture,4.0,1
Angard-Staffing,flexibility,2.2,5
Angard-Staffing,job role clarity,5.0,1
Angard-Staffing,management,1.25,4
Angard-Staffing,pay,4.2,5
Angard-Staffing,people,1.0,1
Angard-Staffing,stress & pressure,1.5,2
Angard-Staffing,teamwork & collaboration,4.0,1
Angard-Staffing,training & onboarding,1.0,1
Angard-Staffing,work-life balance,3.25,4
Anglian-Water,benefits,4.555555555555555,9
Anglian-Water,culture,3.6666666666666665,6
Anglian-Water,flexibility,3.7142857142857144,7
Anglian-Water,growth,4.0,11
Anglian-Water,job role clarity,4.0,3
Anglian-Water,management,1.0,1
Anglian-Water,pay,3.1666666666666665,6
Anglian-Water,people,3.25,8
Anglian-Water,performance feedback,3.6666666666666665,3
Anglian-Water,remote work,4.0,1
Anglian-Water,stress & pressure,2.5,2
Anglian-Water,teamwork & collaboration,4.285714285714286,7
Anglian-Water,tools & resources,4.090909090909091,11
Anglian-Water,training & onboarding,4.333333333333333,3
Anglian-Water,work-life balance,4.666666666666667,3
Anglo-American,benefits,4.0,2
Anglo-American,flexibility,2.0,1
Anglo-American,growth,3.0,2
Anglo-American,management,1.0,1
Anglo-American,people,4.0,1
Anglo-American,tools & resources,1.0,1
Anglo-American,work-life balance,2.0,1
Animal-and-Plant-Health-Agency,management,4.0,1
Animal-and-Plant-Health-Agency,people,4.0,1
Animal-and-Plant-Health-Agency,performance feedback,3.0,1
Aon,benefits,4.333333333333333,3
Aon,culture,2.888888888888889,9
Aon,diversity & inclusion,3.6666666666666665,3
Aon,flexibility,3.5714285714285716,7
Aon,growth,3.4,10
Aon,job role clarity,2.3333333333333335,3
Aon,management,2.8,10
Aon,pay,1.8,5
Aon,people,3.7142857142857144,14
Aon,performance feedback,3.5,2
Aon,remote work,3.0,2
Aon,stress & pressure,2.0,3
Aon,teamwork & collaboration,4.166666666666667,6
Aon,tools & resources,4.0,7
Aon,training & onboarding,3.5,2
Aon,work-life balance,3.6666666666666665,9
Apple,benefits,4.277777777777778,18
Apple,culture,3.85,20
Apple,flexibility,3.727272727272727,11
Apple,growth,2.3333333333333335,18
Apple,job role clarity,2.5714285714285716,7
Apple,management,2.6875,16
Apple,pay,3.230769230769231,13
Apple,people,4.1,20
Apple,performance feedback,3.0,2
Apple,remote work,2.0,1
Apple,stress & pressure,2.6666666666666665,3
Apple,teamwork & collaboration,3.875,8
Apple,tools & resources,5.0,3
Apple,training & onboarding,2.5,4
Apple,travel,3.0,2
Apple,work-life balance,3.411764705882353,17
Arcadia,benefits,2.6666666666666665,6
Arcadia,culture,3.0,5
Arcadia,flexibility,2.75,4
Arcadia,growth,1.75,4
Arcadia,management,2.0714285714285716,14
Arcadia,pay,1.9,10
Arcadia,people,4.153846153846154,13
Arcadia,stress & pressure,1.0,3
Arcadia,teamwork & collaboration,3.0,3
Arcadia,tools & resources,1.75,4
Arcadia,work-life balance,2.0,5
Arnold-Clark,growth,1.0,1
Arnold-Clark,job role clarity,4.0,1
Arnold-Clark,management,2.3333333333333335,3
Arnold-Clark,pay,3.0,3
Arnold-Clark,stress & pressure,1.0,2
Arnold-Clark,teamwork & collaboration,4.0,1
Arnold-Clark,tools & resources,5.0,1
Arnold-Clark,travel,4.0,1
Arnold-Clark,work-life balance,3.6,5
AstraZeneca,benefits,4.0,10
AstraZeneca,culture,3.0,9
AstraZeneca,diversity & inclusion,2.5,2
AstraZeneca,flexibility,4.25,4
AstraZeneca,growth,2.8,20
AstraZeneca,job role clarity,2.625,8
AstraZeneca,management,2.2857142857142856,7
AstraZeneca,pay,2.0,7
AstraZeneca,people,2.6923076923076925,13
AstraZeneca,performance feedback,1.0,2
AstraZeneca,remote work,4.0,2
AstraZeneca,stress & pressure,2.5,2
AstraZeneca,teamwork & collaboration,2.857142857142857,7
AstraZeneca,tools & resources,3.2857142857142856,7
AstraZeneca,training & onboarding,4.0,3
AstraZeneca,work-life balance,2.5555555555555554,9
Aviva,benefits,3.8125,16
Aviva,culture,3.1666666666666665,12
Aviva,diversity & inclusion,2.0,3
Aviva,flexibility,3.5714285714285716,7
Aviva,growth,2.6,10
Aviva,job role clarity,1.0,1
Aviva,job security,1.0,1
Aviva,management,1.4615384615384615,13
Aviva,pay,2.9,10
Aviva,people,3.2142857142857144,14
Aviva,stress & pressure,1.0,4
Aviva,teamwork & collaboration,2.0,3
Aviva,tools & resources,2.75,4
Aviva,training & onboarding,4.333333333333333,3
Aviva,work-life balance,2.8461538461538463,13
B-and-M-Retail,benefits,2.857142857142857,7
B-and-M-Retail,culture,3.909090909090909,11
B-and-M-Retail,flexibility,2.875,8
B-and-M-Retail,growth,4.055555555555555,18
B-and-M-Retail,job role clarity,4.0,2
B-and-M-Retail,job security,4.5,2
B-and-M-Retail,management,2.5714285714285716,21
B-and-M-Retail,pay,1.5769230769230769,26
B-and-M-Retail,people,3.857142857142857,21
B-and-M-Retail,performance feedback,3.0,2
B-and-M-Retail,stress & pressure,1.5454545454545454,11
B-and-M-Retail,teamwork & collaboration,4.2105263157894735,19
B-and-M-Retail,tools & resources,4.0,7
