0,1,2,3,4,5,6,7,8,9,10,11,12
2.7857144,3.4,2.5416667,1.4,2.4,3.125,1.95,3.2777777,3.0,2.25,2.6,2.2,3.1538463
3.4081633,3.2463768,3.0,2.2222223,2.8095238,3.4583333,2.4375,3.4310346,2.8653846,2.9333334,3.28125,3.4,2.875
3.2084942,2.5519714,2.8086123,2.362069,1.76,3.2843137,2.3383086,3.310606,3.6833334,2.41,2.7039473,2.8655462,2.6460178
3.5344827,3.52809,3.189655,3.0952382,2.7846153,3.0555556,3.0294118,3.6944444,3.9384615,1.9090909,3.6842105,3.4464285,3.7169812
4.1413045,3.4705882,3.5,3.25,3.52,3.2987013,2.4318182,4.105882,3.707317,3.1162791,4.076923,3.8108108,4.0416665
3.2399104,3.358035,3.2509882,2.7912087,2.251894,2.911111,2.5658119,3.6168342,3.846591,1.9014084,3.2857144,3.2931035,2.6166902
3.6875,3.5660377,3.0434783,2.875,2.1707318,3.0454545,1.8987342,3.5277777,3.631579,1.8636364,3.5,2.5,2.581818
4.0,4.1,4.4,3.5,3.25,3.5,3.25,3.625,3.6666667,3.0,4.0,4.0,3.2
3.0,3.5,2.6666667,3.5,2.75,2.8235295,2.5,3.5,3.0,2.2222223,3.7222223,3.3529413,2.6
3.4827585,3.6176472,3.1730769,2.125,2.5666666,2.9473684,2.9117646,3.5,2.9375,1.9,3.8076923,4.1538463,2.6730769
3.0370371,2.9444444,3.3548386,3.0,2.9375,3.2941177,1.6764706,3.8148148,3.4166667,2.75,3.6857142,3.4,3.4782608
3.5185184,3.2727273,2.642857,2.6,3.2857144,3.5,3.047619,3.9375,3.7142856,2.2222223,3.826087,4.0,2.52
3.565445,3.2896826,2.9722223,2.9272728,2.458128,3.4639175,2.5086706,3.574074,3.8582678,2.264706,3.192,3.0326087,3.6214952
2.7878788,2.9642856,2.6336634,2.5,2.1504424,2.6037736,2.25,3.3448277,3.255319,1.6071428,3.5245903,3.2075472,3.137255
2.875,2.75,2.56,2.6,1.75,2.0,2.75,2.6875,2.6666667,2.5,3.75,2.0,2.548387
4.008929,3.7832167,3.5416667,3.3714285,3.4777777,3.2363636,3.5855856,3.8256881,4.078261,2.516129,3.9767442,4.0540543,3.590909
3.3333333,3.4210527,2.25,2.4,2.6666667,3.0,3.6666667,3.9,3.8235295,2.5,3.375,3.5,3.4
3.1486487,3.1176472,2.7096775,3.0,2.3009708,3.28125,2.32,3.4038463,3.5810812,1.8095238,3.5151515,3.1525424,3.3789473
3.641791,2.8099174,3.2258065,2.3181818,2.4484537,2.75,2.8592234,3.758755,3.9303136,2.0757575,3.7416666,3.4444444,2.8181818
2.824074,2.625,2.7449665,2.4848485,1.9745224,2.9142857,1.8735632,3.506173,3.4545455,2.637931,3.1935484,2.2666667,2.631579
2.8666666,3.7741935,2.9166667,2.4705882,2.4385965,2.5714285,2.859375,2.7727273,3.6756756,1.6451613,3.625,2.9444444,2.3396227
3.3896103,3.2295918,2.8028169,2.4473684,2.44,2.8873239,3.2,3.5298507,3.798165,2.0833333,3.2790697,3.5866666,3.1705427
3.125,2.9784172,2.8971963,2.6785715,2.1812866,2.9390244,2.7674417,3.2857144,3.7048192,2.1034484,3.0704226,3.1694915,3.4565217
3.3615818,3.8,2.9634147,2.9782608,2.543554,2.6486487,1.957704,3.4468086,2.8465347,2.7083333,3.7959185,3.3333333,2.4970589
3.1374407,3.1300814,2.5810473,2.6323528,2.0243902,2.8454545,2.9616368,3.4335444,3.3070176,1.7195122,3.610465,2.987805,2.7275
3.0689654,3.6,3.14,3.0,2.0232558,3.03125,3.7272727,3.5652175,4.175676,1.64,3.1764705,2.8387096,2.4545455
3.4560668,3.1625,3.0114942,2.8428571,1.8591065,3.3252032,1.8794788,3.6366367,2.867347,2.2962964,3.576159,3.3333333,3.5506072
3.512,3.0748298,2.5486727,2.92,2.2142856,3.235294,2.4,3.7383177,3.0851064,2.018868,3.7560976,3.142857,3.0576923
3.3333333,2.857143,2.7887323,2.8888888,2.4583333,2.1333334,1.9777777,3.7083333,3.317073,1.8636364,3.7142856,3.0,2.5245903
3.2786884,2.4910715,2.6734693,3.0454545,2.0619469,2.9142857,2.097015,3.5945945,3.7205882,2.8695652,3.074074,3.0238094,3.637931
2.9583333,2.920635,2.3404255,2.5588236,1.9035088,3.1126761,1.9430895,3.6111112,3.642857,1.962963,3.0,2.5,3.18
3.3444445,3.0,2.9548388,2.637931,2.3333333,2.8493152,3.1321585,3.6038647,3.7634408,2.0270271,3.1460674,3.1052632,3.4051723
3.0588236,3.05,3.0,3.142857,2.3225806,2.7083333,2.5166667,3.409091,3.65,2.56,3.2786884,3.4,3.017857
2.8359134,3.1447587,2.5542858,2.9929578,2.0157619,2.7827868,2.8794568,3.3311965,3.620482,1.8273381,3.1134453,3.081712,3.3072164
2.5681818,2.9072847,2.4558823,2.419355,1.9858156,2.9125,2.6709678,3.0957446,3.1571429,2.35,3.081967,2.8428571,3.318584
2.889706,2.7291667,2.9438202,2.72,2.027972,3.035294,2.3783784,3.2307692,3.488189,2.490566,2.9565217,2.8703704,3.1265824
4.0,3.869159,3.6382978,3.142857,3.2391305,3.5925925,3.7027028,4.196262,4.0833335,2.1698112,3.8363636,4.1578946,2.6290324
2.779661,3.1140351,2.4454546,2.0869565,2.2376237,3.03125,2.3333333,3.2470589,3.2826087,1.6774193,3.4727273,2.935484,2.5058823
3.5438597,3.8169014,3.3369565,2.875,2.9375,3.1515152,2.1733334,3.4864864,3.5543478,2.5625,3.8846154,3.939394,2.4842105
2.359375,3.5208333,2.8165681,3.2307692,2.1724138,2.78125,2.3214285,2.680851,3.4651163,1.5833334,3.8095238,2.9466667,2.2857144
3.2404761,3.1191447,2.7202165,2.5019157,2.0490928,2.942928,2.73872,3.510303,3.831904,2.0190115,3.2806654,3.1037736,3.3828382
2.897436,2.68,2.4698796,2.9375,1.8965517,2.3888888,1.7924528,3.586207,2.642857,1.8095238,3.5151515,2.4117646,2.25
4.111111,3.6,3.4285715,3.0,3.5714285,2.8823528,2.642857,3.95,3.125,2.8,3.8333333,4.5,3.1111112
3.612903,3.5,3.5128205,2.875,3.1904762,3.5454545,3.2407408,4.034483,3.862069,2.4117646,3.5333333,3.5454545,3.142857
3.054054,3.225,2.7755103,2.6666667,1.9268292,2.8947368,2.48,3.53125,2.8333333,2.6666667,3.6923077,3.6666667,2.8181818
3.375,2.8947368,2.5625,3.0,2.3125,3.5454545,2.9444444,3.590909,3.8125,1.5,3.5714285,3.7777777,3.5625
3.357616,3.1088824,3.4186046,2.4246576,1.9383117,3.423581,2.9753087,3.4280822,3.8789062,2.2097902,3.0641026,3.1666667,2.643885
3.5555556,3.5185184,3.15,3.2222223,2.5333333,2.9666667,3.0,3.6969697,3.4375,2.9,3.9130435,3.4545455,2.7777777
3.85,3.5428572,3.4,2.6666667,3.1153846,3.6666667,3.3529413,3.6666667,3.857143,2.7142856,2.9411764,3.1578948,2.6923077
3.442013,2.984127,2.6779027,2.3837209,2.1270719,3.1042254,2.7396908,3.361169,3.6538463,2.0984848,3.0113637,3.1117318,2.9246378
3.6857142,3.8095238,2.9,2.9166667,3.0416667,3.05,3.162162,4.2285714,4.2941175,2.1142857,3.4583333,3.0,2.4477613
2.5457227,3.0952382,2.889047,2.8035715,1.6141002,2.902564,2.2161741,3.465492,3.5890737,1.6734694,3.0485437,2.793893,2.5531135
2.9285715,2.8421052,2.8461537,2.2307692,1.9215686,2.8888888,2.0869565,3.220339,3.0769231,2.125,3.631579,3.1724138,3.5
3.2777777,2.5454545,2.7333333,2.7222223,2.4571428,2.2941177,2.3611112,3.1,2.2,2.2727273,3.75,3.0416667,2.2631578
4.0571427,3.7380953,3.7777777,4.5,3.65,3.7857144,3.8,4.25,4.0625,3.2142856,3.8,3.7857144,3.7
3.3219178,3.251613,2.658986,2.7179487,2.2291667,3.327869,2.5888324,3.5614035,3.4602273,1.7758621,3.359375,3.3513513,3.0903955
2.835443,2.25,2.816,2.125,1.9670329,3.2954545,2.48,3.0584416,3.9215686,1.898305,2.8021977,2.857143,2.496403
3.1037736,3.3867404,2.6576576,2.53125,2.1240876,3.0,2.2692308,3.6190476,2.9245284,2.1666667,3.3493977,2.68,2.737864
3.3333333,3.607143,2.871795,3.1666667,2.6,3.2307692,2.7804878,3.3888888,3.4,1.9166666,3.9583333,3.2413793,3.096774
3.025641,3.1176472,3.0526316,3.0,2.1272728,3.3888888,2.6530612,3.3695652,3.8888888,3.0769231,3.3,3.32,3.5208333
2.40625,2.6121495,2.2924836,2.52,1.8929068,2.7333333,2.1001353,3.1601307,2.8851352,2.1020408,3.0127552,2.6789668,2.9107504
3.0,2.8636363,2.4117646,2.8,2.857143,2.8823528,3.3333333,3.36,3.9615386,2.125,3.1764705,3.375,3.375
4.255814,4.15,3.9855072,3.5333333,3.8405797,3.5,3.831169,4.179487,3.8809524,2.764706,4.2972975,4.575,2.9104478
3.2407408,3.6666667,2.7762237,3.173913,2.3707864,2.5945945,2.3693693,3.5882354,3.1086957,1.9310344,3.621212,3.1538463,2.6413043
3.451613,3.1666667,2.8888888,3.0833333,1.9047619,3.3333333,1.9714285,4.0465117,4.076923,2.4666667,3.6470587,3.4347825,2.590909
3.7755103,3.257732,3.264706,3.2,2.4388888,3.3521128,3.023077,3.6201117,4.0933332,2.9142857,3.1445782,3.5068493,3.7789474
3.3033175,3.4126394,2.8909092,2.9117646,2.0456622,2.974138,2.5614972,3.6276596,3.6931818,1.867647,3.4148147,2.9479167,2.9047618
3.1458333,3.3333333,3.0555556,2.6190476,2.3947368,2.8461537,2.2903225,3.9178083,3.0,1.7777778,3.7692308,3.7435896,3.3225806
3.7333333,3.413793,3.1904762,3.1111112,3.409091,3.2222223,3.4,3.826087,4.375,3.6153846,4.4,3.590909,4.076923
3.25,3.0887096,3.0757575,2.735294,2.0246913,2.935484,2.116959,3.368421,3.6436782,1.7894737,3.107143,3.121212,3.7171052
3.2350428,3.125,2.5923424,2.59,2.1398964,2.6258993,2.9513514,3.2792022,3.3576643,1.9448276,3.4264705,2.9705882,2.6975036
1.8571428,4.1666665,2.6923077,2.5,2.5333333,2.75,2.0,2.75,3.3636363,1.6666666,3.9285715,2.5555556,2.4
3.8585858,3.6847825,3.1764705,3.0,2.9292035,3.5531914,3.490196,3.6451614,4.046875,2.6,3.5064936,3.5074627,3.7978723
3.4117646,2.9285715,2.9473684,3.142857,2.235294,3.4,2.36,3.5555556,3.625,2.0,3.6,4.0,3.7916667
2.5631068,3.3107345,2.6208792,2.5454545,2.133005,2.7260275,2.5019011,3.1748252,3.1538463,1.5689656,3.0824742,2.528302,2.7607143
2.6393442,3.482143,2.9290323,2.3,2.3333333,2.6307693,2.3405797,3.2261906,2.9152544,1.7380953,3.2753623,2.9672132,2.5588236
4.090909,4.0540543,3.6956522,4.1666665,3.5833333,2.7741935,2.652174,4.030303,3.7058823,3.75,3.875,4.0,3.92
1.75,3.152174,2.510204,2.2424242,2.0673077,3.0769231,1.6415094,2.967742,2.2962964,1.4,3.288889,2.4333334,2.0547945
3.548387,3.689655,2.953125,3.0,2.8181818,3.125,2.8269231,3.4025974,3.9705882,2.6666667,3.9444444,4.0,3.3043478
2.0666666,2.9047618,2.4545455,2.3333333,1.3809524,3.0,2.6363637,3.5,3.1,2.0,2.8333333,2.5714285,3.5333333
2.7272727,2.5,2.451613,2.75,1.9333333,3.347826,1.8636364,3.1363637,2.8461537,2.375,2.7619047,3.1538463,3.6666667
3.0,3.0227273,2.78125,2.4166667,2.5,3.0434783,1.8974359,3.5,3.3,1.375,3.15625,3.1304348,3.162162
2.903226,2.8333333,2.8958333,3.0769231,2.418182,3.52,2.6,3.4444444,3.627907,1.7142857,3.7547169,3.1458333,2.6440678
2.75,3.7142856,3.0,3.8,2.4,3.5,2.25,3.8,2.5,2.0,3.3333333,3.6666667,3.4
3.8235295,3.3846154,3.511628,3.6470587,2.56,3.5294118,3.2285714,3.6060605,3.5,1.8928572,3.6818182,3.2,2.6666667
2.7261906,3.225564,2.6949153,3.0,2.0219781,2.918033,2.9363637,3.1162791,3.488372,2.088889,3.078125,2.75,2.6741574
2.5945945,2.8461537,2.8235295,2.4166667,1.8787879,2.8181818,3.1238937,2.925926,3.7692308,1.8947369,3.3,2.4444444,2.3777778
3.0860214,3.0864198,2.607143,2.9411764,2.1358025,3.2857144,2.2125,3.3814433,3.2941177,2.3636363,3.1746032,3.22,3.24
