,firm,pros,cons,pros_clean_min,pros_clean_lemma_only,pros_clean_with_stopwords,pros_clean_with_symspell,cons_clean_min,cons_clean_lemma_only,cons_clean_with_stopwords,cons_clean_with_symspell,min_pro_aspect_sentiments,lemma_pro_aspect_sentiments,Stopword_pro_aspect_sentiments,Symspell_pro_aspect_sentiments,min_con_aspect_sentiments,lemma_con_aspect_sentiments,Stopword_con_aspect_sentiments,Symspell_con_aspect_sentiments
77921,Taylor Wimpey,"Through all the uncertainty recently, the business has given us regular updates and so much help to our subcontractors as well.",Nothing to report on cons,"Through all the uncertainty recently, the business has given us regular updates and so much help to our subcontractors as well.",through all the uncertainty recently the business have give we regular update and so much help to our subcontractor as well,uncertainty recently business give regular update help subcontractor,uncertainty recently business give regular update help subcontractor,Nothing to report on cons,nothing to report on con,report con,report con,"{'hr & recruitment': {1: 0.0065248124, 2: 0.009976743, 3: 0.07192801, 4: 0.41728714, 5: 0.4942833, 'label': 5}, 'pay': {1: 0.008823503, 2: 0.01256192, 3: 0.07439643, 4: 0.3970602, 5: 0.507158, 'label': 5}}","{'hr & recruitment': {1: 0.011723144, 2: 0.016802024, 3: 0.09579884, 4: 0.44455576, 5: 0.43112022, 'label': 4}, 'pay': {1: 0.015728751, 2: 0.019961175, 3: 0.09760706, 4: 0.42497307, 5: 0.44173, 'label': 5}}","{'pay': {1: 0.21561441, 2: 0.17501962, 3: 0.2791949, 4: 0.2328562, 5: 0.09731485, 'label': 3}}","{'pay': {1: 0.21561441, 2: 0.17501962, 3: 0.2791949, 4: 0.2328562, 5: 0.09731485, 'label': 3}}",{},{},{},{}
69618,RSM,10 years enough of working,Didn't learn anything and some staff got the privilege and got more right than ten years of pratical working experience,10 years enough of working,10 year enough of work,10 year work,year work,Didn't learn anything and some staff got the privilege and got more right than ten years of pratical working experience,do not learn anything and some staff get the privilege and get more right than ten year of pratical working experience,learn staff get privilege get right year pratical working experience,learn staff get privilege get right year pratical work experience,{},{},{},{},"{'growth & learning': {1: 0.393355, 2: 0.39159673, 3: 0.16222776, 4: 0.038433637, 5: 0.014386767, 'label': 1}, 'hr & recruitment': {1: 0.40221596, 2: 0.37933618, 3: 0.16232815, 4: 0.040704962, 5: 0.015414778, 'label': 1}}","{'growth & learning': {1: 0.48763096, 2: 0.36970064, 3: 0.11748613, 4: 0.01869333, 5: 0.0064889165, 'label': 1}, 'hr & recruitment': {1: 0.5000417, 2: 0.3613481, 3: 0.11387235, 4: 0.018402217, 5: 0.0063355914, 'label': 1}}","{'growth & learning': {1: 0.27291757, 2: 0.23455243, 3: 0.24153613, 4: 0.15952054, 5: 0.091473356, 'label': 1}, 'hr & recruitment': {1: 0.32152423, 2: 0.25004247, 3: 0.21919145, 4: 0.1339184, 5: 0.0753234, 'label': 1}}","{'growth & learning': {1: 0.2770429, 2: 0.23297314, 3: 0.2403897, 4: 0.15829127, 5: 0.091302976, 'label': 1}, 'hr & recruitment': {1: 0.32443452, 2: 0.24634525, 3: 0.21806312, 4: 0.13441652, 5: 0.07674062, 'label': 1}}"
60239,NHS,"None terrible place
Don't go there","Terrible place to work
Don't go there",None terrible place Don't go there,none terrible place do not go there,terrible place,terrible place,Terrible place to work Don't go there,terrible place to work do not go there,terrible place work,terrible place work,{},{},{},{},{},{},{},{}
74473,Savills,"Great people.
The open plan culture means that everyone is accessible.
Gorgeous office in a great location.
Work/life balance.
Flexible/home working possible as their IT systems are so good.
Internal movement is encouraged.","As it is such a big company, process can slow down getting things done.
Lower salaries at some levels due to bonus potential.",Great people. The open plan culture means that everyone is accessible. Gorgeous office in a great location. Work/life balance. Flexible/home working possible as their IT systems are so good. Internal movement is encouraged.,great people the open plan culture mean that everyone be accessible gorgeous office in a great location work life balance flexible home working possible as their it system be so good internal movement be encourage,great people open plan culture mean accessible gorgeous office great location work life balance flexible home working possible system good internal movement encourage,great people open plan culture mean accessible gorgeous office great location work life balance flexible home work possible system good internal movement encourage,"As it is such a big company, process can slow down getting things done. Lower salaries at some levels due to bonus potential.",as it be such a big company process can slow down get thing do low salary at some level due to bonus potential,big company process slow get thing low salary level bonus potential,big company process slow get thing lower salary level bonus potential,"{'culture': {1: 0.0015256376, 2: 0.0022992706, 3: 0.02076011, 4: 0.2913142, 5: 0.6841008, 'label': 5}, 'growth & learning': {1: 0.0012420686, 2: 0.0016968825, 3: 0.015989672, 4: 0.26972926, 5: 0.71134204, 'label': 5}, 'office & location': {1: 0.0012555176, 2: 0.0018660562, 3: 0.017928727, 4: 0.28581935, 5: 0.6931304, 'label': 5}, 'people': {1: 0.0015492253, 2: 0.002275718, 3: 0.019392818, 4: 0.27396217, 5: 0.70282, 'label': 5}, 'tools & resources': {1: 0.0014811788, 2: 0.0021764508, 3: 0.017874071, 4: 0.27340505, 5: 0.7050632, 'label': 5}, 'work-life balance': {1: 0.0015175629, 2: 0.0023830815, 3: 0.022747044, 4: 0.30562875, 5: 0.6677236, 'label': 5}}","{'culture': {1: 0.0076945056, 2: 0.012128759, 3: 0.08673445, 4: 0.41403344, 5: 0.4794088, 'label': 5}, 'growth & learning': {1: 0.0063370424, 2: 0.009887188, 3: 0.08522779, 4: 0.44468626, 5: 0.4538617, 'label': 5}, 'office & location': {1: 0.0066667795, 2: 0.010947186, 3: 0.087997206, 4: 0.4413739, 5: 0.45301494, 'label': 5}, 'people': {1: 0.0071271285, 2: 0.010730954, 3: 0.07819506, 4: 0.40045914, 5: 0.5034877, 'label': 5}, 'tools & resources': {1: 0.008249265, 2: 0.013365128, 3: 0.09352183, 4: 0.43421912, 5: 0.45064467, 'label': 5}, 'work-life balance': {1: 0.008174762, 2: 0.013747379, 3: 0.1002216, 4: 0.43548113, 5: 0.44237506, 'label': 5}}","{'culture': {1: 0.004722252, 2: 0.008187482, 3: 0.09231005, 4: 0.4747331, 5: 0.4200471, 'label': 4}, 'growth & learning': {1: 0.003745174, 2: 0.005890486, 3: 0.075015604, 4: 0.47066534, 5: 0.44468343, 'label': 4}, 'office & location': {1: 0.0038122355, 2: 0.006334743, 3: 0.07623016, 4: 0.46515164, 5: 0.44847116, 'label': 4}, 'people': {1: 0.0046788156, 2: 0.007825304, 3: 0.08530885, 4: 0.45866528, 5: 0.4435218, 'label': 4}, 'tools & resources': {1: 0.0042441995, 2: 0.0069275633, 3: 0.07472239, 4: 0.45590907, 5: 0.4581968, 'label': 5}, 'work-life balance': {1: 0.0047168303, 2: 0.0081976075, 3: 0.09313726, 4: 0.47026643, 5: 0.42368186, 'label': 4}}","{'culture': {1: 0.0049137566, 2: 0.008546638, 3: 0.09442472, 4: 0.4748248, 5: 0.41729012, 'label': 4}, 'growth & learning': {1: 0.0039609023, 2: 0.0062778103, 3: 0.078160204, 4: 0.4724089, 5: 0.43919212, 'label': 4}, 'office & location': {1: 0.0039842264, 2: 0.0066390256, 3: 0.078473106, 4: 0.46602812, 5: 0.44487548, 'label': 4}, 'people': {1: 0.0048571057, 2: 0.0081401, 3: 0.08720646, 4: 0.45912316, 5: 0.44067317, 'label': 4}, 'tools & resources': {1: 0.004492456, 2: 0.0073705367, 3: 0.077588394, 4: 0.45695603, 5: 0.45359257, 'label': 4}, 'work-life balance': {1: 0.005147507, 2: 0.00911812, 3: 0.10009773, 4: 0.47301346, 5: 0.4126232, 'label': 4}}","{'pay': {1: 0.2479753, 2: 0.4647771, 3: 0.24237409, 4: 0.036732305, 5: 0.00814111, 'label': 2}}","{'pay': {1: 0.3891329, 2: 0.368795, 3: 0.1836596, 4: 0.043657657, 5: 0.014754822, 'label': 1}}","{'pay': {1: 0.48645163, 2: 0.33190823, 3: 0.13739347, 4: 0.030789955, 5: 0.013456754, 'label': 1}}","{'pay': {1: 0.4667675, 2: 0.33236933, 3: 0.14782284, 4: 0.036525622, 5: 0.01651479, 'label': 1}}"
7099,B and Q,"Holidays 
Flexibility
Staff discount
Colleagues 
Customer diversity","Management
H/R
Back stabbing
Lack of professionalism
Training",Holidays  Flexibility Staff discount Colleagues  Customer diversity,holiday flexibility staff discount colleague customer diversity,holiday flexibility staff discount colleague customer diversity,holiday flexibility staff discount colleague customer diversity,Management H/R Back stabbing Lack of professionalism Training,management h r back stab lack of professionalism training,management h r stab lack professionalism training,management stab lack professionalism train,"{'perks & benefits': {1: 0.021873213, 2: 0.03528152, 3: 0.23572259, 4: 0.47336343, 5: 0.23375927, 'label': 4}, 'diversity & inclusion': {1: 0.026007777, 2: 0.03813082, 3: 0.20750298, 4: 0.45107043, 5: 0.277288, 'label': 4}, 'hr & recruitment': {1: 0.035679936, 2: 0.055793352, 3: 0.25931427, 4: 0.42983785, 5: 0.21937461, 'label': 4}, 'people': {1: 0.032086648, 2: 0.049078103, 3: 0.25232002, 4: 0.42864183, 5: 0.23787345, 'label': 4}, 'work-life balance': {1: 0.022500578, 2: 0.043883167, 3: 0.29298642, 4: 0.45630208, 5: 0.18432774, 'label': 4}}","{'perks & benefits': {1: 0.01317908, 2: 0.021127032, 3: 0.20761295, 4: 0.51538694, 5: 0.24269406, 'label': 4}, 'diversity & inclusion': {1: 0.013139197, 2: 0.019880502, 3: 0.17557086, 4: 0.49680713, 5: 0.29460236, 'label': 4}, 'hr & recruitment': {1: 0.017459245, 2: 0.02783556, 3: 0.22030702, 4: 0.49222848, 5: 0.24216966, 'label': 4}, 'work-life balance': {1: 0.013696119, 2: 0.0257631, 3: 0.2566072, 4: 0.50072795, 5: 0.2032056, 'label': 4}}","{'perks & benefits': {1: 0.01317908, 2: 0.021127032, 3: 0.20761295, 4: 0.51538694, 5: 0.24269406, 'label': 4}, 'diversity & inclusion': {1: 0.013139197, 2: 0.019880502, 3: 0.17557086, 4: 0.49680713, 5: 0.29460236, 'label': 4}, 'hr & recruitment': {1: 0.017459245, 2: 0.02783556, 3: 0.22030702, 4: 0.49222848, 5: 0.24216966, 'label': 4}, 'work-life balance': {1: 0.013696119, 2: 0.0257631, 3: 0.2566072, 4: 0.50072795, 5: 0.2032056, 'label': 4}}","{'perks & benefits': {1: 0.01317908, 2: 0.021127032, 3: 0.20761295, 4: 0.51538694, 5: 0.24269406, 'label': 4}, 'diversity & inclusion': {1: 0.013139197, 2: 0.019880502, 3: 0.17557086, 4: 0.49680713, 5: 0.29460236, 'label': 4}, 'hr & recruitment': {1: 0.017459245, 2: 0.02783556, 3: 0.22030702, 4: 0.49222848, 5: 0.24216966, 'label': 4}, 'work-life balance': {1: 0.013696119, 2: 0.0257631, 3: 0.2566072, 4: 0.50072795, 5: 0.2032056, 'label': 4}}","{'hr & recruitment': {1: 0.55737054, 2: 0.32835546, 3: 0.09496736, 4: 0.014424407, 5: 0.0048822076, 'label': 1}, 'management': {1: 0.596323, 2: 0.3030734, 3: 0.08408601, 4: 0.012070588, 5: 0.004447038, 'label': 1}}","{'hr & recruitment': {1: 0.55975014, 2: 0.31301036, 3: 0.10238775, 4: 0.018067613, 5: 0.0067841476, 'label': 1}, 'management': {1: 0.5979104, 2: 0.2894383, 3: 0.09170114, 4: 0.0150036095, 5: 0.00594656, 'label': 1}}","{'hr & recruitment': {1: 0.5434877, 2: 0.32183546, 3: 0.10994325, 4: 0.018205114, 5: 0.00652847, 'label': 1}, 'management': {1: 0.5885867, 2: 0.29732397, 3: 0.09449283, 4: 0.014122984, 5: 0.005473584, 'label': 1}}","{'management': {1: 0.56709, 2: 0.31021234, 3: 0.10128618, 4: 0.015598634, 5: 0.005812816, 'label': 1}}"
72349,SAP,"Collaborate, Helpful, Engaging, Kind, Exciting",Nothing to note here yet,"Collaborate, Helpful, Engaging, Kind, Exciting",collaborate helpful engaging kind exciting,collaborate helpful engaging kind exciting,collaborate helpful engage kind exciting,Nothing to note here yet,nothing to note here yet,note,note,"{'teamwork & collaboration': {1: 0.0026078918, 2: 0.0037738194, 3: 0.07737591, 4: 0.49135935, 5: 0.42488304, 'label': 4}}","{'teamwork & collaboration': {1: 0.0050517735, 2: 0.007969759, 3: 0.12686726, 4: 0.52635396, 5: 0.33375725, 'label': 4}}","{'teamwork & collaboration': {1: 0.0050517735, 2: 0.007969759, 3: 0.12686726, 4: 0.52635396, 5: 0.33375725, 'label': 4}}","{'teamwork & collaboration': {1: 0.006323111, 2: 0.009388992, 3: 0.13692053, 4: 0.51028913, 5: 0.33707824, 'label': 4}}",{},{},{},{}
21794,Capita,Massive exposure to a huge number of systems and users,"Terrible senior management. No progression, no salary alignment",Massive exposure to a huge number of systems and users,massive exposure to a huge number of system and user,massive exposure huge number system user,massive exposure huge number system user,"Terrible senior management. No progression, no salary alignment",terrible senior management no progression no salary alignment,terrible senior management progression salary alignment,terrible senior management progression salary alignment,{},{},{},{},"{'growth & learning': {1: 0.8260733, 2: 0.1570877, 3: 0.014943618, 4: 0.0011981968, 5: 0.00069733575, 'label': 1}, 'management': {1: 0.8667818, 2: 0.11983626, 3: 0.0116880415, 4: 0.0010229375, 5: 0.0006709922, 'label': 1}, 'pay': {1: 0.8784716, 2: 0.10928193, 3: 0.010621436, 4: 0.00097337767, 5: 0.00065170054, 'label': 1}}","{'growth & learning': {1: 0.8140981, 2: 0.1613891, 3: 0.021220438, 4: 0.0021484524, 5: 0.0011439415, 'label': 1}, 'management': {1: 0.861756, 2: 0.12004394, 3: 0.015621628, 4: 0.0015939606, 5: 0.0009844402, 'label': 1}, 'pay': {1: 0.869931, 2: 0.112861164, 3: 0.014670163, 4: 0.0015711328, 5: 0.0009666342, 'label': 1}}","{'growth & learning': {1: 0.59464824, 2: 0.31154191, 3: 0.076187596, 4: 0.011921174, 5: 0.0057010525, 'label': 1}, 'management': {1: 0.68476, 2: 0.24972397, 3: 0.053779636, 4: 0.007587904, 5: 0.004148485, 'label': 1}, 'pay': {1: 0.697106, 2: 0.2394115, 3: 0.051345352, 4: 0.00778241, 5: 0.0043548, 'label': 1}}","{'growth & learning': {1: 0.59464824, 2: 0.31154191, 3: 0.076187596, 4: 0.011921174, 5: 0.0057010525, 'label': 1}, 'management': {1: 0.68476, 2: 0.24972397, 3: 0.053779636, 4: 0.007587904, 5: 0.004148485, 'label': 1}, 'pay': {1: 0.697106, 2: 0.2394115, 3: 0.051345352, 4: 0.00778241, 5: 0.0043548, 'label': 1}}"
10003,BP,Good benefits for all working,Slow progression and one dimensional work,Good benefits for all working,good benefit for all work,good benefit work,good benefit work,Slow progression and one dimensional work,slow progression and one dimensional work,slow progression dimensional work,slow progression dimensional work,"{'perks & benefits': {1: 0.0049953386, 2: 0.007560896, 3: 0.11675313, 4: 0.52085376, 5: 0.34983686, 'label': 4}}","{'perks & benefits': {1: 0.0052511957, 2: 0.0072587198, 3: 0.11389958, 4: 0.5131671, 5: 0.36042345, 'label': 4}}","{'perks & benefits': {1: 0.0066227973, 2: 0.009972678, 3: 0.15601663, 4: 0.5462261, 5: 0.28116176, 'label': 4}}","{'perks & benefits': {1: 0.0066227973, 2: 0.009972678, 3: 0.15601663, 4: 0.5462261, 5: 0.28116176, 'label': 4}}","{'growth & learning': {1: 0.37343806, 2: 0.45961708, 3: 0.14442675, 4: 0.017775873, 5: 0.0047422587, 'label': 2}}","{'growth & learning': {1: 0.37343806, 2: 0.45961708, 3: 0.14442675, 4: 0.017775873, 5: 0.0047422587, 'label': 2}}","{'growth & learning': {1: 0.29208738, 2: 0.47436458, 3: 0.20157985, 4: 0.025858248, 5: 0.006109936, 'label': 2}}","{'growth & learning': {1: 0.29208738, 2: 0.47436458, 3: 0.20157985, 4: 0.025858248, 5: 0.006109936, 'label': 2}}"
69303,REED,I love my new job at Reed as I feel very welcomed by my new team and manager. There is a lovely working environment and everyone is very friendly. My working hours are great and there is flexibility within my shifts if I need to change my hours slightly. I am thoroughly enjoying my new job role and I am finding learning about the Education sector is very interesting.,"The only downside for me is the car parking as sometimes I have to park about a 10 min walk from the office, this isn't fun in the recent stormy weather!",I love my new job at Reed as I feel very welcomed by my new team and manager. There is a lovely working environment and everyone is very friendly. My working hours are great and there is flexibility within my shifts if I need to change my hours slightly. I am thoroughly enjoying my new job role and I am finding learning about the Education sector is very interesting.,I love my new job at reed as I feel very welcome by my new team and manager there be a lovely work environment and everyone be very friendly my work hour be great and there be flexibility within my shift if I need to change my hour slightly I be thoroughly enjoy my new job role and I be find learn about the education sector be very interesting,love new job reed feel welcome new team manager lovely work environment friendly work hour great flexibility shift need change hour slightly thoroughly enjoy new job role find learn education sector interesting,love new job reed feel welcome new team manager lovely work environment friendly work hour great flexibility shift need change hour slightly thoroughly enjoy new job role find learn education sector interesting,"The only downside for me is the car parking as sometimes I have to park about a 10 min walk from the office, this isn't fun in the recent stormy weather!",the only downside for I be the car parking as sometimes I have to park about a 10 min walk from the office this be not fun in the recent stormy weather,downside car parking park 10 min walk office fun recent stormy weather,downside car parking park min walk office fun recent stormy weather,"{'culture': {1: 0.0014572412, 2: 0.0023105124, 3: 0.027994914, 4: 0.41292608, 5: 0.5553112, 'label': 5}, 'growth & learning': {1: 0.0011683832, 2: 0.0017645803, 3: 0.025238328, 4: 0.42223904, 5: 0.5495897, 'label': 5}, 'job role clarity': {1: 0.0017607145, 2: 0.0036041345, 3: 0.05555561, 4: 0.5257691, 5: 0.41331038, 'label': 4}, 'teamwork & collaboration': {1: 0.0012599406, 2: 0.0020540296, 3: 0.029430903, 4: 0.45263186, 5: 0.5146233, 'label': 5}, 'work-life balance': {1: 0.0014325582, 2: 0.0025348484, 3: 0.03633788, 4: 0.4781491, 5: 0.48154566, 'label': 5}}","{'culture': {1: 0.004004609, 2: 0.0070635783, 3: 0.069417514, 4: 0.47014442, 5: 0.44936982, 'label': 4}, 'growth & learning': {1: 0.0032408822, 2: 0.005550657, 3: 0.064401224, 4: 0.49191692, 5: 0.43489036, 'label': 4}, 'job role clarity': {1: 0.004514234, 2: 0.009971728, 3: 0.11224643, 4: 0.53233665, 5: 0.340931, 'label': 4}, 'teamwork & collaboration': {1: 0.0035354174, 2: 0.0065923966, 3: 0.07318817, 4: 0.51048183, 5: 0.40620214, 'label': 4}, 'work-life balance': {1: 0.0041377535, 2: 0.008589346, 3: 0.09887378, 4: 0.5273757, 5: 0.36102334, 'label': 4}}","{'culture': {1: 0.003416776, 2: 0.00765569, 3: 0.09905351, 4: 0.5540152, 5: 0.33585876, 'label': 4}, 'growth & learning': {1: 0.0029365083, 2: 0.0061208736, 3: 0.08945849, 4: 0.56037724, 5: 0.34110692, 'label': 4}, 'job role clarity': {1: 0.0035385354, 2: 0.009069914, 3: 0.13105993, 4: 0.5906613, 5: 0.2656703, 'label': 4}, 'teamwork & collaboration': {1: 0.0030375735, 2: 0.0071668695, 3: 0.10597654, 4: 0.5809224, 5: 0.30289665, 'label': 4}, 'work-life balance': {1: 0.0030906082, 2: 0.00778933, 3: 0.121107146, 4: 0.5872824, 5: 0.2807305, 'label': 4}}","{'culture': {1: 0.003416776, 2: 0.00765569, 3: 0.09905351, 4: 0.5540152, 5: 0.33585876, 'label': 4}, 'growth & learning': {1: 0.0029365083, 2: 0.0061208736, 3: 0.08945849, 4: 0.56037724, 5: 0.34110692, 'label': 4}, 'job role clarity': {1: 0.0035385354, 2: 0.009069914, 3: 0.13105993, 4: 0.5906613, 5: 0.2656703, 'label': 4}, 'teamwork & collaboration': {1: 0.0030375735, 2: 0.0071668695, 3: 0.10597654, 4: 0.5809224, 5: 0.30289665, 'label': 4}, 'work-life balance': {1: 0.0030906082, 2: 0.00778933, 3: 0.121107146, 4: 0.5872824, 5: 0.2807305, 'label': 4}}","{'office & location': {1: 0.064016506, 2: 0.25640583, 3: 0.44329688, 4: 0.21943954, 5: 0.016841196, 'label': 3}}","{'office & location': {1: 0.10113508, 2: 0.25782904, 3: 0.41197315, 4: 0.20638078, 5: 0.022681938, 'label': 3}}","{'office & location': {1: 0.11213253, 2: 0.20581472, 3: 0.3683525, 4: 0.24301043, 5: 0.07068987, 'label': 3}}","{'office & location': {1: 0.08700521, 2: 0.18847464, 3: 0.39699525, 4: 0.2599334, 5: 0.067591436, 'label': 3}}"
49003,JLL,The corporate culture is supportive,A little too focused on driving revenue,The corporate culture is supportive,the corporate culture be supportive,corporate culture supportive,corporate culture supportive,A little too focused on driving revenue,a little too focused on drive revenue,little focused drive revenue,little focus drive revenue,"{'culture': {1: 0.017792404, 2: 0.031284377, 3: 0.24152578, 4: 0.46654704, 5: 0.24285036, 'label': 4}, 'teamwork & collaboration': {1: 0.010286718, 2: 0.019407345, 3: 0.20058106, 4: 0.5111263, 5: 0.2585986, 'label': 4}, 'tools & resources': {1: 0.01110486, 2: 0.02070493, 3: 0.19701599, 4: 0.49754235, 5: 0.27363196, 'label': 4}}","{'culture': {1: 0.032295365, 2: 0.049590424, 3: 0.25904158, 4: 0.42993152, 5: 0.22914107, 'label': 4}, 'teamwork & collaboration': {1: 0.017441051, 2: 0.0296696, 3: 0.21118593, 4: 0.48305097, 5: 0.25865242, 'label': 4}, 'tools & resources': {1: 0.019944552, 2: 0.033069693, 3: 0.21384153, 4: 0.46750787, 5: 0.26563635, 'label': 4}}","{'culture': {1: 0.01792084, 2: 0.028657475, 3: 0.20976526, 4: 0.45077872, 5: 0.2928776, 'label': 4}, 'teamwork & collaboration': {1: 0.0107529005, 2: 0.017688401, 3: 0.1747274, 4: 0.49327675, 5: 0.30355453, 'label': 4}, 'tools & resources': {1: 0.011639222, 2: 0.019253448, 3: 0.17461757, 4: 0.48133758, 5: 0.3131522, 'label': 4}}","{'culture': {1: 0.01792084, 2: 0.028657475, 3: 0.20976526, 4: 0.45077872, 5: 0.2928776, 'label': 4}, 'teamwork & collaboration': {1: 0.0107529005, 2: 0.017688401, 3: 0.1747274, 4: 0.49327675, 5: 0.30355453, 'label': 4}, 'tools & resources': {1: 0.011639222, 2: 0.019253448, 3: 0.17461757, 4: 0.48133758, 5: 0.3131522, 'label': 4}}",{},{},{},{}
